ticker,date,open,high,low,close
ACCL,2025-10-17,4.05,4.45,4.0,4.05
ACCL,2025-10-20,3.08,3.1802,2.62,2.91
ACCL,2025-10-21,2.76,2.79,2.6,2.65
ACCL,2025-10-22,2.6,2.7,2.1,2.16
ACCL,2025-10-23,2.336,2.3797,2.24,2.31
ACCL,2025-10-24,2.35,3.15,2.34,2.74
ACCL,2025-10-27,2.79,2.9099,2.66,2.75
ACCL,2025-10-28,2.67,3.15,2.67,3.11
ACCL,2025-10-29,3.2,3.2499,2.8,2.96
ACCL,2025-10-30,3.19,3.7,3.1,3.5001
ACCL,2025-10-31,3.4,4.88,3.4,4.0397
ACCL,2025-11-03,4.15,4.7,4.14,4.4
ACCL,2025-11-04,4.57,5.0,3.64,4.0
ACCL,2025-11-05,4.1469,4.1469,4.0,4.02
ACCL,2025-11-06,3.98,4.26,3.98,4.0284
ACCL,2025-11-07,4.0,4.35,3.73,4.0
ACCL,2025-11-10,4.1,4.29,4.0,4.29
ACCL,2025-11-11,4.1613,4.206,4.1,4.1
ACCL,2025-11-12,4.1,4.38,4.0,4.135
ACCL,2025-11-13,4.19,4.23,4.05,4.22
ACCL,2025-11-14,4.04,4.19,4.04,4.08
ACCL,2025-11-17,4.18,4.18,4.06,4.16
ACCL,2025-11-18,4.0909,4.17,4.04,4.16
ACCL,2025-11-19,4.14,4.14,4.06,4.13
ACCL,2025-11-20,4.0,4.14,3.3903,4.14
ACCL,2025-11-21,4.0,4.29,3.55,4.22
ACCL,2025-11-24,4.0,4.98,4.0,4.42
ACCL,2025-11-25,4.5,4.51,4.3,4.51
ACCL,2025-11-26,4.28,4.31,3.68,3.75
ACCL,2025-11-28,3.8,4.01,3.7615,4.01
ACCL,2025-12-01,3.87,3.97,3.76,3.9
ACCL,2025-12-02,3.99,4.1,3.81,3.81
ACCL,2025-12-03,4.02,4.26,4.0,4.16
ACCL,2025-12-04,4.09,4.245,4.008,4.0601
ACCL,2025-12-05,3.91,3.97,3.91,3.95
ACCL,2025-12-08,3.99,4.15,3.91,3.91
ACCL,2025-12-09,4.065,4.065,3.86,3.9
ACCL,2025-12-10,3.9,4.2464,3.3,4.1
ACCL,2025-12-11,4.0,4.2,3.67,3.85
ACCL,2025-12-12,3.86,3.86,3.7001,3.795
