ticker,date,open,high,low,close
AGCC,2025-10-22,3.82,8.25,3.66,6.05
AGCC,2025-10-23,4.6,4.8,3.9,4.01
AGCC,2025-10-24,3.93,4.885,3.74,4.48
AGCC,2025-10-27,4.23,4.7792,4.23,4.3
AGCC,2025-10-28,5.0,6.9,4.522,5.21
AGCC,2025-10-29,4.74,5.78,4.68,5.4
AGCC,2025-10-30,5.34,5.74,4.71,5.02
AGCC,2025-10-31,4.88,5.5,4.71,5.35
AGCC,2025-11-03,5.75,7.0999,4.8901,6.4
AGCC,2025-11-04,6.28,6.8,5.86,6.0732
AGCC,2025-11-05,6.2,6.4,5.61,5.84
AGCC,2025-11-06,5.85,6.202,4.72,5.35
AGCC,2025-11-07,5.01,5.59,4.98,5.37
AGCC,2025-11-10,5.35,5.74,5.05,5.73
AGCC,2025-11-11,5.63,5.75,5.0418,5.6
AGCC,2025-11-12,5.73,5.79,5.0001,5.54
AGCC,2025-11-13,5.66,5.8,5.24,5.41
AGCC,2025-11-14,5.79,7.98,5.315,6.56
AGCC,2025-11-17,6.85,7.77,5.6,6.4006
AGCC,2025-11-18,6.3,7.39,6.05,6.21
AGCC,2025-11-19,6.11,6.338197,5.5,5.9001
AGCC,2025-11-20,6.04,6.4,5.72,5.96
AGCC,2025-11-21,6.01,6.19,5.54,5.7
AGCC,2025-11-24,5.98,6.98,5.7218,6.28
AGCC,2025-11-25,6.46,7.49,6.36,7.0
AGCC,2025-11-26,7.3,8.0,6.85,7.17
AGCC,2025-11-28,7.3,7.5705,5.99,6.1
AGCC,2025-12-01,6.15,6.97,6.15,6.63
AGCC,2025-12-02,6.9,6.99,6.36,6.619
AGCC,2025-12-03,6.55,7.19,6.44,7.18
AGCC,2025-12-04,7.25,9.19,7.02,8.88
AGCC,2025-12-05,9.2,10.89,8.75,9.88
AGCC,2025-12-08,10.28,13.78,10.28,12.64
AGCC,2025-12-09,12.83,14.66,9.2,9.85
AGCC,2025-12-10,10.01,11.66,9.38,9.38
AGCC,2025-12-11,9.03,11.6604,9.01,10.45
AGCC,2025-12-12,9.45,12.0043,9.45,10.095
