ticker,date,open,high,low,close
AHMA,2025-10-21,4.0,5.4,4.0,4.65
AHMA,2025-10-22,4.25,4.4901,4.13,4.385
AHMA,2025-10-23,4.49,4.59,4.23,4.36
AHMA,2025-10-24,4.37,4.545,4.37,4.46
AHMA,2025-10-27,4.44,4.465,4.3803,4.45
AHMA,2025-10-28,4.49,4.8,4.4,4.645
AHMA,2025-10-29,4.66,6.29,4.6505,6.12
AHMA,2025-10-30,6.09,7.48,6.09,6.9
AHMA,2025-10-31,6.77,6.845,5.31,5.31
AHMA,2025-11-03,5.34,5.75,4.8,5.0
AHMA,2025-11-04,4.74,5.19,4.5006,4.85
AHMA,2025-11-05,4.99,4.99,4.37,4.68
AHMA,2025-11-06,4.54,4.58,4.18,4.26
AHMA,2025-11-07,4.47,5.67,4.451,5.07
AHMA,2025-11-10,5.04,5.13,4.6,4.6
AHMA,2025-11-11,4.55,4.82,4.55,4.79
AHMA,2025-11-12,4.73,5.05,4.6701,4.765
AHMA,2025-11-13,4.64,4.76,4.48,4.55
AHMA,2025-11-14,4.77,4.772,4.51,4.65
AHMA,2025-11-17,4.83,4.83,4.512,4.55
AHMA,2025-11-18,4.55,4.85,4.55,4.76
AHMA,2025-11-19,4.79,5.35,4.685,5.34
AHMA,2025-11-20,5.43,5.43,4.8501,4.95
AHMA,2025-11-21,4.97,5.11,4.78,5.05
AHMA,2025-11-24,5.1892,6.5,5.12,6.26
AHMA,2025-11-25,6.41,6.41,5.61,5.61
AHMA,2025-11-26,5.86,5.86,4.7301,5.1
AHMA,2025-11-28,4.95,4.95,4.81,4.81
AHMA,2025-12-01,10.55,17.34,9.49,14.34
AHMA,2025-12-02,12.5,13.6799,10.51,12.25
AHMA,2025-12-03,14.49,18.2,14.35,15.04
AHMA,2025-12-04,15.15,16.5,10.83,13.2
AHMA,2025-12-05,12.69,13.13,7.11,8.22
AHMA,2025-12-08,7.85,8.02,6.752,7.12
AHMA,2025-12-09,7.03,7.4999,6.7601,7.09
AHMA,2025-12-10,6.73,7.1601,6.01,6.14
AHMA,2025-12-11,6.2651,6.8,5.85,6.79
AHMA,2025-12-12,6.37,7.785,6.37,7.37
