ticker,date,open,high,low,close
AIIO,2025-08-27,1.25,1.45,1.25,1.35
AIIO,2025-08-28,1.33,1.43,1.3,1.37
AIIO,2025-08-29,1.42,1.7,1.33,1.62
AIIO,2025-09-02,1.58,1.89,1.551,1.85
AIIO,2025-09-03,1.72,1.89,1.51,1.55
AIIO,2025-09-04,1.54,1.54,1.21,1.39
AIIO,2025-09-05,1.38,1.45,1.23,1.26
AIIO,2025-09-08,1.29,1.48,1.255,1.4
AIIO,2025-09-09,1.39,1.79,1.35,1.57
AIIO,2025-09-10,1.57,1.76,1.38,1.6
AIIO,2025-09-11,1.62,1.68,1.41,1.43
AIIO,2025-09-12,1.44,1.58,1.399,1.46
AIIO,2025-09-15,1.64,2.41,1.42,1.51
AIIO,2025-09-16,1.81,2.2,1.65,1.7
AIIO,2025-09-17,1.78,2.1,1.78,1.975
AIIO,2025-09-18,2.02,2.71,1.9,1.975
AIIO,2025-09-19,2.1,2.26,1.64,1.64
AIIO,2025-09-22,1.845,1.8896,1.64,1.7
AIIO,2025-09-23,1.7,1.9394,1.7,1.84
AIIO,2025-09-24,1.87,2.17,1.85,2.03
AIIO,2025-09-25,2.06,2.74,1.95,2.43
AIIO,2025-09-26,2.46,2.815,1.9904,2.05
AIIO,2025-09-29,2.21,2.325,1.84,1.93
AIIO,2025-09-30,2.381,2.65,2.2,2.61
AIIO,2025-10-01,2.64,2.78,2.41,2.49
AIIO,2025-10-02,2.47,2.56,1.88,1.95
AIIO,2025-10-03,2.0298,2.1,1.69,1.72
AIIO,2025-10-06,1.85,1.88,1.78,1.81
AIIO,2025-10-07,1.94,2.04,1.75,1.79
AIIO,2025-10-08,1.82,1.82,1.44,1.51
AIIO,2025-10-09,1.66,1.74,1.5,1.53
AIIO,2025-10-10,1.57,1.58,1.37,1.4
AIIO,2025-10-13,1.46,1.555,1.4,1.52
AIIO,2025-10-14,1.5,1.62,1.49,1.52
AIIO,2025-10-15,1.54,1.66,1.42,1.49
AIIO,2025-10-16,1.47,1.5,1.33,1.35
AIIO,2025-10-17,1.3,1.46,1.28,1.46
AIIO,2025-10-20,1.43,1.56,1.28,1.3
AIIO,2025-10-21,1.32,1.37,1.18,1.25
AIIO,2025-10-22,0.9419,0.9419,0.9001,0.9419
AIIO,2025-10-23,0.9871,1.02,0.8742,1.0
AIIO,2025-10-24,1.07,1.1,0.9701,1.02
AIIO,2025-10-27,1.04,1.1,1.03,1.08
AIIO,2025-10-28,1.05,1.09,0.9774,0.9871
AIIO,2025-10-29,0.9858,1.014,0.89,0.9176
AIIO,2025-10-30,0.8981,0.9,0.6303,0.729199
AIIO,2025-10-31,0.7303,0.7686,0.6058,0.6382
AIIO,2025-11-03,0.61,0.6413,0.401,0.5721
AIIO,2025-11-04,0.5363,0.5563,0.4609,0.48
AIIO,2025-11-05,0.4831,0.54999,0.4831,0.4973
AIIO,2025-11-06,0.5033,0.53,0.458,0.4709
AIIO,2025-11-07,0.4549,0.5248,0.444,0.5142
AIIO,2025-11-10,0.5438,0.729,0.515,0.6857
AIIO,2025-11-11,0.661,0.6723,0.56,0.5712
AIIO,2025-11-12,0.58,0.6086,0.558,0.5884
AIIO,2025-11-13,0.5729,0.5735,0.526,0.5618
AIIO,2025-11-14,0.5109,0.624,0.51,0.5865
AIIO,2025-11-17,0.5785,0.6252,0.5602,0.5654
AIIO,2025-11-18,0.55,0.57,0.52215,0.5382
AIIO,2025-11-19,0.5267,0.5658,0.5267,0.556
AIIO,2025-11-20,0.5579,1.03,0.5579,0.793699
AIIO,2025-11-21,0.8,1.03,0.73,0.74135
AIIO,2025-11-24,0.7908,0.8299,0.6785,0.69
AIIO,2025-11-25,0.68,0.7497,0.6399,0.6978
AIIO,2025-11-26,0.6991,0.8115,0.69385,0.77
AIIO,2025-11-28,0.81,0.92999,0.692,0.7
AIIO,2025-12-01,0.6999,0.70295,0.5935,0.6097
AIIO,2025-12-02,0.6282,0.6382,0.5602,0.5832
AIIO,2025-12-03,0.6,0.635,0.58,0.6334
AIIO,2025-12-04,0.6394,0.68,0.6055,0.6538
AIIO,2025-12-05,0.6625,0.78,0.6,0.6085
AIIO,2025-12-08,0.6,0.6651,0.6,0.601
AIIO,2025-12-09,0.6033,0.6441,0.5816,0.5816
AIIO,2025-12-10,0.585,0.628,0.5722,0.5722
AIIO,2025-12-11,0.5799,0.61,0.5716,0.5716
AIIO,2025-12-12,0.5879,0.59,0.52205,0.537
