ticker,date,open,high,low,close
AIXC,2025-11-19,3.26,3.27,2.75,2.83
AIXC,2025-11-20,2.9,2.9693,2.58,2.64
AIXC,2025-11-21,2.64,2.64,2.38,2.54
AIXC,2025-11-24,2.68,2.77,2.52,2.6
AIXC,2025-11-25,2.63,2.69,2.4,2.44
AIXC,2025-11-26,2.45,2.57,2.425,2.55
AIXC,2025-11-28,2.57,2.64,2.513,2.6
AIXC,2025-12-01,2.52,2.57,2.31,2.35
AIXC,2025-12-02,2.37,2.42,2.26,2.41
AIXC,2025-12-03,2.45,2.54,2.33,2.54
AIXC,2025-12-04,2.425,2.66,2.35,2.63
AIXC,2025-12-05,2.52,2.645,2.46,2.5
AIXC,2025-12-08,2.5,2.54,2.2401,2.27
AIXC,2025-12-09,2.27,2.6,2.24,2.53
AIXC,2025-12-10,2.45,2.57,2.38,2.54
AIXC,2025-12-11,2.51,2.62,2.42,2.53
AIXC,2025-12-12,2.5,2.67,2.5,2.51
