ticker,date,open,high,low,close
AVX,2025-11-13,2.4,2.6499,1.75,1.8
AVX,2025-11-14,1.7106,2.0,1.7001,1.8
AVX,2025-11-17,1.83,1.87,1.63,1.68
AVX,2025-11-18,1.68,1.7954,1.57,1.62
AVX,2025-11-19,1.6,1.6605,1.445,1.49
AVX,2025-11-20,1.6447,1.84,1.56,1.69
AVX,2025-11-21,1.75,1.75,1.5505,1.72
AVX,2025-11-24,1.67,1.99,1.6511,1.89
AVX,2025-11-25,1.84,1.95,1.77,1.9
AVX,2025-11-26,1.88,1.93,1.79,1.92
AVX,2025-11-28,1.93,2.08,1.85,1.97
AVX,2025-12-01,1.93,1.95,1.8101,1.89
AVX,2025-12-02,1.91,1.99,1.88,1.92
AVX,2025-12-03,1.93,2.27,1.88,2.1
AVX,2025-12-04,2.09,2.145,1.95,2.04
AVX,2025-12-05,2.03,2.05,1.93,1.96
AVX,2025-12-08,1.96,1.9789,1.81,1.81
AVX,2025-12-09,1.8,1.845,1.58,1.64
AVX,2025-12-10,1.6,1.63,1.45,1.63
AVX,2025-12-11,1.7,1.73,1.555,1.63
AVX,2025-12-12,1.62,1.6692,1.5347,1.58
