ticker,date,open,high,low,close
BLUW,2025-07-31,9.93,10.05,9.93,9.979
BLUW,2025-08-01,9.98,9.98,9.9769,9.9769
BLUW,2025-08-04,9.97,9.97,9.97,9.97
BLUW,2025-08-05,9.97,9.97,9.97,9.97
BLUW,2025-08-06,9.96,9.97,9.95,9.965
BLUW,2025-08-07,9.97,9.97,9.95,9.96
BLUW,2025-08-08,9.96,9.97,9.96,9.97
BLUW,2025-08-11,9.97,9.975,9.97,9.97
BLUW,2025-08-12,9.97,9.97,9.96,9.96
BLUW,2025-08-13,9.97,9.97,9.97,9.97
BLUW,2025-08-14,9.97,9.98,9.96,9.96
BLUW,2025-08-15,9.96,9.97,9.96,9.97
BLUW,2025-08-18,9.98,9.999,9.9554,9.9554
BLUW,2025-08-19,9.96,9.96,9.96,9.96
BLUW,2025-08-20,9.9698,9.97,9.96,9.97
BLUW,2025-08-22,9.97,9.97,9.97,9.97
BLUW,2025-08-25,9.96,9.96,9.96,9.96
BLUW,2025-08-26,9.96,9.965,9.95,9.96
BLUW,2025-08-27,9.95,9.96,9.95,9.955
BLUW,2025-08-28,9.965,9.965,9.95,9.95
BLUW,2025-08-29,9.95,9.955,9.94,9.94
BLUW,2025-09-02,9.95,9.96,9.94,9.94
BLUW,2025-09-03,9.95,9.97,9.95,9.9612
BLUW,2025-09-04,9.96,9.97,9.96,9.97
BLUW,2025-09-05,9.97,9.97,9.97,9.97
BLUW,2025-09-08,9.96,10.0,9.96,10.0
BLUW,2025-09-09,10.0128,10.0128,9.99,10.0
BLUW,2025-09-10,10.0,10.0,9.99,9.99
BLUW,2025-09-11,10.0,10.0,10.0,10.0
BLUW,2025-09-12,9.97,9.9889,9.97,9.98
BLUW,2025-09-15,10.0,10.0,9.98,9.98
BLUW,2025-09-16,10.0,10.0,10.0,10.0
BLUW,2025-09-17,9.9873,9.99,9.9873,9.99
BLUW,2025-09-18,9.9804,9.9804,9.97,9.97
BLUW,2025-09-19,9.97,9.98,9.97,9.98
BLUW,2025-09-22,9.97,9.97,9.96,9.96
BLUW,2025-09-23,9.96,9.96,9.96,9.96
BLUW,2025-09-24,9.97,9.985,9.97,9.985
BLUW,2025-09-25,9.97,9.97,9.97,9.97
BLUW,2025-09-26,9.9748,9.9748,9.9699,9.97
BLUW,2025-09-29,9.97,9.97,9.97,9.97
BLUW,2025-10-01,10.029,10.029,10.029,10.029
BLUW,2025-10-03,9.99,10.0,9.9897,10.0
BLUW,2025-10-06,10.0,10.0,10.0,10.0
BLUW,2025-10-07,10.0,10.0,9.99,10.0
BLUW,2025-10-08,10.03,10.03,10.0,10.0
BLUW,2025-10-09,9.97,9.97,9.97,9.97
BLUW,2025-10-13,9.9874,9.99,9.9874,9.99
BLUW,2025-10-14,10.0,10.03,10.0,10.03
BLUW,2025-10-15,10.03,10.0321,10.03,10.0321
BLUW,2025-10-16,10.0115,10.0115,10.0115,10.0115
BLUW,2025-10-21,9.99,10.0201,9.98,10.02
BLUW,2025-10-22,10.03,10.04,10.03,10.04
BLUW,2025-10-23,10.0143,10.0143,10.0143,10.0143
BLUW,2025-10-24,10.03,10.03,10.0244,10.03
BLUW,2025-10-27,10.04,10.04,10.03,10.03
BLUW,2025-10-28,10.04,10.04,10.04,10.04
BLUW,2025-10-29,10.05,10.05,10.05,10.05
BLUW,2025-10-30,10.0324,10.0324,10.0324,10.0324
BLUW,2025-10-31,10.01,10.01,10.01,10.01
BLUW,2025-11-04,10.04,10.04,10.04,10.04
BLUW,2025-11-05,10.05,10.065,10.05,10.05
BLUW,2025-11-06,10.07,10.07,10.0,10.0
BLUW,2025-11-07,10.0406,10.0406,10.0406,10.0406
BLUW,2025-11-10,10.015,10.04,10.015,10.04
BLUW,2025-11-11,10.05,10.05,10.05,10.05
BLUW,2025-11-12,10.05,10.05,10.05,10.05
BLUW,2025-11-13,10.05,10.06,10.05,10.06
BLUW,2025-11-14,10.06,10.06,10.06,10.06
BLUW,2025-11-17,10.06,10.06,10.06,10.06
BLUW,2025-11-19,10.03,10.07,10.0231,10.07
BLUW,2025-11-25,10.06,10.06,10.05,10.06
BLUW,2025-12-01,10.4,10.41,10.32,10.355
BLUW,2025-12-02,10.35,10.36,10.35,10.35
BLUW,2025-12-03,10.35,10.36,10.341,10.35
BLUW,2025-12-04,10.33,10.36,10.33,10.33
BLUW,2025-12-05,10.355,10.36,10.35,10.35
BLUW,2025-12-08,10.37,10.39,10.35,10.35
BLUW,2025-12-09,10.33,10.34,10.32,10.33
BLUW,2025-12-10,10.33,10.33,10.31,10.31
BLUW,2025-12-11,10.33,10.33,10.32,10.32
BLUW,2025-12-12,10.32,10.325,10.31,10.31
