ticker,date,open,high,low,close
BLZR,2025-11-03,10.14,10.165,10.14,10.15
BLZR,2025-11-04,10.17,10.17,10.135,10.14
BLZR,2025-11-05,10.14,10.15,10.14,10.1457
BLZR,2025-11-06,10.15,10.16,10.15,10.15
BLZR,2025-11-07,10.121,10.16,10.121,10.14
BLZR,2025-11-10,10.14,10.14,10.135,10.14
BLZR,2025-11-11,10.1494,10.1494,10.14,10.14
BLZR,2025-11-13,10.12,10.14,10.12,10.14
BLZR,2025-11-14,10.14,10.14,10.14,10.14
BLZR,2025-11-17,10.11,10.13,10.11,10.13
BLZR,2025-11-18,10.13,10.13,10.11,10.11
BLZR,2025-11-19,10.12,10.12,10.12,10.12
BLZR,2025-11-20,10.11,10.11,10.1,10.1
BLZR,2025-11-24,10.1,10.105,10.09,10.09
BLZR,2025-11-25,10.1,10.1,10.09,10.09
BLZR,2025-11-26,10.08,10.08,10.08,10.08
BLZR,2025-12-01,10.085,10.085,10.075,10.08
BLZR,2025-12-02,10.06,10.08,10.06,10.07
BLZR,2025-12-03,10.06,10.06,10.05,10.06
BLZR,2025-12-04,10.07,10.07,10.05,10.06
BLZR,2025-12-05,10.06,10.065,10.06,10.065
BLZR,2025-12-08,10.07,10.0709,10.06,10.06
BLZR,2025-12-09,10.05,10.065,10.05,10.065
BLZR,2025-12-10,10.08,10.08,10.06,10.06
