ticker,date,open,high,low,close
BNBX,2025-10-07,5.83,5.85,4.23,4.65
BNBX,2025-10-08,4.75,5.0,4.23,4.31
BNBX,2025-10-09,4.3,4.5,4.0001,4.43
BNBX,2025-10-10,4.2,4.45,4.18,4.29
BNBX,2025-10-13,4.11,4.2074,3.75,3.83
BNBX,2025-10-14,3.83,3.9443,3.64,3.79
BNBX,2025-10-15,3.83,3.91,3.71,3.84
BNBX,2025-10-16,3.73,3.8787,3.57,3.57
BNBX,2025-10-17,3.52,3.65,3.41,3.47
BNBX,2025-10-20,3.46,3.76,3.36,3.49
BNBX,2025-10-21,3.42,3.59,3.41,3.42
BNBX,2025-10-22,5.01,6.17,4.42,4.8
BNBX,2025-10-23,4.25,4.35,3.42,3.89
BNBX,2025-10-24,3.89,4.13,3.75,3.78
BNBX,2025-10-27,3.75,3.8786,3.61,3.75
BNBX,2025-10-28,3.75,3.83,3.69,3.8
BNBX,2025-10-29,3.77,3.87,3.57,3.67
BNBX,2025-10-30,3.56,3.7708,3.5592,3.67
BNBX,2025-10-31,3.67,3.74,3.33,3.46
BNBX,2025-11-03,3.35,3.56,3.26,3.4
BNBX,2025-11-04,3.33,3.57,3.32,3.41
BNBX,2025-11-05,3.37,3.5,3.3,3.46
BNBX,2025-11-06,3.45,3.54,3.35,3.51
BNBX,2025-11-07,3.4,3.59,3.375,3.54
BNBX,2025-11-10,3.54,3.54,3.31,3.31
BNBX,2025-11-11,3.31,3.48,3.31,3.42
BNBX,2025-11-12,3.41,3.41,3.28,3.3
BNBX,2025-11-13,3.3,3.3749,3.08,3.1
BNBX,2025-11-14,3.03,3.0665,2.8,2.8
BNBX,2025-11-17,2.77,2.8599,2.66,2.76
BNBX,2025-11-18,2.67,2.8,2.61,2.7899
BNBX,2025-11-19,2.62,2.7599,2.62,2.73
BNBX,2025-11-20,2.64,2.7708,2.44,2.44
BNBX,2025-11-21,2.45,2.4899,2.31,2.46
BNBX,2025-11-24,2.45,2.4999,2.3,2.423
BNBX,2025-11-25,2.43,2.43,2.37,2.37
BNBX,2025-11-26,2.33,2.5,2.33,2.49
BNBX,2025-11-28,2.45,2.625,2.45,2.6
BNBX,2025-12-01,2.59,2.7,2.56,2.64
BNBX,2025-12-02,2.58,3.1,2.58,3.07
BNBX,2025-12-03,3.13,3.155,2.9017,3.06
BNBX,2025-12-04,3.05,3.11,2.816,3.1
BNBX,2025-12-05,3.12,3.1998,2.9,3.0
BNBX,2025-12-08,2.92,3.09,2.9,3.09
BNBX,2025-12-09,3.03,3.128,3.0,3.07
BNBX,2025-12-10,3.08,3.36,3.035,3.21
BNBX,2025-12-11,3.105,3.1245,2.9,2.9716
BNBX,2025-12-12,3.01,3.01,2.52,2.523
