ticker,date,open,high,low,close
CABR,2025-11-13,3.01,3.2,1.36,1.4
CABR,2025-11-14,1.13,1.13,0.7505,0.98
CABR,2025-11-17,0.9828,1.0056,0.8155,0.8302
CABR,2025-11-18,0.87,0.87,0.7102,0.7788
CABR,2025-11-19,0.75,1.3458,0.72026,1.09
CABR,2025-11-20,1.06,1.08,0.8301,0.8644
CABR,2025-11-21,0.8195,0.97,0.73,0.9598
CABR,2025-11-24,0.9007,1.08,0.870101,1.01
CABR,2025-11-25,1.02,1.15,0.9999,1.08
CABR,2025-11-26,1.08,1.09,0.99,1.04
CABR,2025-11-28,1.05,1.05,0.9611,1.03
CABR,2025-12-01,1.03,1.09,1.005,1.01
CABR,2025-12-02,1.01,1.1,1.0,1.06
CABR,2025-12-03,1.09,1.17,1.04,1.11
CABR,2025-12-04,1.16,1.47,1.12,1.35
CABR,2025-12-05,1.42,1.44,1.09,1.3
CABR,2025-12-08,1.44,1.65,1.39,1.52
CABR,2025-12-09,1.52,1.55,1.26,1.38
CABR,2025-12-10,1.34,1.3999,1.2255,1.26
CABR,2025-12-11,1.25,1.26,1.1,1.13
CABR,2025-12-12,1.14,1.279,1.14,1.15
