ticker,date,open,high,low,close
CBC,2025-11-20,22.06,23.42,21.99,22.97
CBC,2025-11-21,22.8,24.47,22.55,23.57
CBC,2025-11-24,23.68,24.68,23.2,24.43
CBC,2025-11-25,24.21,25.0,23.36,24.16
CBC,2025-11-26,24.22,24.5,23.0,23.45
CBC,2025-11-28,23.53,23.99,23.01,23.56
CBC,2025-12-01,23.6,24.0,23.07,23.34
CBC,2025-12-02,23.92,23.92,22.8,23.015
CBC,2025-12-03,23.01,24.125,23.01,23.71
CBC,2025-12-04,23.81,23.9,23.12,23.75
CBC,2025-12-05,23.75,23.9,22.86,23.25
CBC,2025-12-08,23.5,23.9,22.75,23.455
CBC,2025-12-09,23.6,23.75,22.9001,23.43
CBC,2025-12-10,23.41,23.695,22.8,23.16
CBC,2025-12-11,23.09,23.375,22.5,23.12
CBC,2025-12-12,23.31,23.39,22.81,23.03
