ticker,date,open,high,low,close
CCHH,2025-10-03,5.32,8.25,4.08,4.44
CCHH,2025-10-06,4.17,4.17,3.68,3.72
CCHH,2025-10-07,3.6907,5.0,3.49,4.13
CCHH,2025-10-08,4.19,4.2999,4.05,4.1
CCHH,2025-10-09,4.16,4.4599,4.1254,4.19
CCHH,2025-10-10,4.38,5.5,4.27,5.39
CCHH,2025-10-13,5.04,5.345,4.4,4.49
CCHH,2025-10-14,4.29,4.8,4.1201,4.63
CCHH,2025-10-15,4.4,4.69,4.4,4.59
CCHH,2025-10-16,4.7,4.8,4.33,4.705
CCHH,2025-10-17,4.6,5.0,4.25,4.91
CCHH,2025-10-20,4.91,5.3001,4.36,4.605
CCHH,2025-10-21,4.57,4.7,4.28,4.39
CCHH,2025-10-22,4.61,4.67,4.4,4.62
CCHH,2025-10-23,4.65,4.65,4.43,4.5
CCHH,2025-10-24,4.35,4.85,4.35,4.44
CCHH,2025-10-27,4.5017,4.615,4.2,4.3
CCHH,2025-10-28,4.4,4.7,4.25,4.54
CCHH,2025-10-29,4.49,4.59,4.36,4.48
CCHH,2025-10-30,4.4,4.82,4.4,4.63
CCHH,2025-10-31,4.71,4.9899,4.63,4.73
CCHH,2025-11-03,4.79,4.8325,4.61,4.68
CCHH,2025-11-04,4.55,4.6996,4.43,4.46
CCHH,2025-11-05,4.47,4.7659,4.46,4.58
CCHH,2025-11-06,4.64,4.69,4.49,4.58
CCHH,2025-11-07,4.55,4.715,4.5,4.7
CCHH,2025-11-10,4.66,4.7,4.59,4.69
CCHH,2025-11-11,4.54,4.67,4.52,4.63
CCHH,2025-11-12,4.77,5.5,4.72,5.5
CCHH,2025-11-13,5.23,5.7999,5.1,5.75
CCHH,2025-11-14,5.7,5.98,5.5,5.87
CCHH,2025-11-17,5.85,6.06,5.66,5.69
CCHH,2025-11-18,5.75,6.11,5.16,6.02
CCHH,2025-11-19,6.0,7.56,5.75,6.02
CCHH,2025-11-20,5.93,8.21,5.4,7.95
CCHH,2025-11-21,7.76,10.52,7.75,9.815
CCHH,2025-11-24,9.83,10.95,6.13,9.3103
CCHH,2025-11-25,8.91,9.7,8.8,9.53
CCHH,2025-11-26,9.11,10.3,9.0,9.83
CCHH,2025-11-28,9.9,10.8,9.8,10.55
CCHH,2025-12-01,10.06,10.41,9.36,9.99
CCHH,2025-12-02,9.39,10.8,9.39,10.38
CCHH,2025-12-03,10.05,10.6772,10.02,10.43
CCHH,2025-12-04,10.29,10.7,10.0136,10.48
CCHH,2025-12-05,10.26,12.26,10.26,11.47
CCHH,2025-12-08,12.16,13.53,11.5101,13.04
CCHH,2025-12-09,13.22,14.55,12.8,14.55
CCHH,2025-12-10,14.38,14.65,13.62,14.12
CCHH,2025-12-11,14.24,15.39,14.0,15.12
CCHH,2025-12-12,14.78,15.15,1.6,2.65
