ticker,date,open,high,low,close
CHEC,2025-11-12,9.96,9.97,9.96,9.96
CHEC,2025-11-13,9.97,9.975,9.97,9.975
CHEC,2025-11-14,9.96,9.98,9.96,9.98
CHEC,2025-11-17,9.98,9.98,9.96,9.97
CHEC,2025-11-18,9.97,9.97,9.96,9.96
CHEC,2025-11-19,9.97,9.97,9.97,9.97
CHEC,2025-11-20,9.97,9.97,9.97,9.97
CHEC,2025-11-21,9.94,9.97,9.94,9.97
CHEC,2025-11-24,10.56,10.56,9.95,9.95
CHEC,2025-11-26,9.91,9.96,9.91,9.96
CHEC,2025-12-03,9.94,9.94,9.94,9.94
CHEC,2025-12-10,9.96,9.96,9.96,9.96
CHEC,2025-12-11,9.96,9.96,9.96,9.96
CHEC,2025-12-12,9.9699,9.9699,9.9699,9.9699
