ticker,date,open,high,low,close
CYPH,2025-11-13,1.43,1.98,1.34,1.76
CYPH,2025-11-14,2.06,3.55,1.8901,2.75
CYPH,2025-11-17,3.04,3.42,2.4,2.435
CYPH,2025-11-18,2.28,3.09,2.24,2.97
CYPH,2025-11-19,3.165,3.3699,2.7,2.94
CYPH,2025-11-20,3.14,3.6999,2.8,2.94
CYPH,2025-11-21,2.89,2.92,2.17,2.28
CYPH,2025-11-24,2.305,2.43,1.75,1.84
CYPH,2025-11-25,1.67,1.72,1.44,1.48
CYPH,2025-11-26,1.64,1.8,1.46,1.7
CYPH,2025-11-28,1.66,1.74,1.53,1.53
CYPH,2025-12-01,1.37,1.48,1.2,1.23
CYPH,2025-12-02,1.26,1.43,1.13,1.17
CYPH,2025-12-03,1.2,1.33,1.11,1.31
CYPH,2025-12-04,1.25,1.42,1.21,1.27
CYPH,2025-12-05,1.3,1.33,1.1,1.11
CYPH,2025-12-08,1.2,1.3799,1.1601,1.17
CYPH,2025-12-09,1.24,1.67,1.18,1.62
CYPH,2025-12-10,1.58,1.62,1.435,1.44
CYPH,2025-12-11,1.54,1.61,1.4,1.58
CYPH,2025-12-12,1.64,1.65,1.41,1.44
