ticker,date,open,high,low,close
DNMX,2025-11-19,9.96,9.96,9.95,9.95
DNMX,2025-11-20,9.95,9.961,9.9298,9.94
DNMX,2025-11-21,9.95,9.95,9.95,9.95
DNMX,2025-11-24,9.8915,9.95,9.8915,9.94
DNMX,2025-11-25,9.935,9.94,9.93,9.93
DNMX,2025-11-26,9.94,9.94,9.93,9.93
DNMX,2025-11-28,9.94,9.94,9.94,9.94
DNMX,2025-12-01,9.94,9.94,9.9063,9.91
DNMX,2025-12-02,9.91,9.91,9.91,9.91
DNMX,2025-12-03,9.91,9.91,9.91,9.91
DNMX,2025-12-04,9.905,9.905,9.89,9.9
DNMX,2025-12-08,9.9,9.9,9.9,9.9
DNMX,2025-12-09,9.9,9.905,9.9,9.905
DNMX,2025-12-10,9.9,9.905,9.89,9.89
