ticker,date,open,high,low,close
ELE,2025-11-25,12.9999,13.02,12.8,12.9
ELE,2025-11-26,12.97,14.505,12.83,14.24
ELE,2025-11-28,14.94,15.2,14.3,14.3
ELE,2025-12-01,14.5,15.43,14.22,15.245
ELE,2025-12-02,15.45,15.85,14.9,15.55
ELE,2025-12-03,15.88,15.92,14.87,15.02
ELE,2025-12-04,14.47,14.91,14.4573,14.76
ELE,2025-12-05,15.0,15.0452,14.5,14.5
ELE,2025-12-08,14.5,14.7688,14.01,14.14
ELE,2025-12-09,14.11,14.6999,14.11,14.63
ELE,2025-12-10,14.63,15.135,14.4,15.03
ELE,2025-12-11,15.11,15.48,14.9036,15.15
ELE,2025-12-12,15.75,15.75,14.95,15.08
