ticker,date,open,high,low,close
ELWT,2025-11-07,8.2,8.2,6.45,7.12
ELWT,2025-11-10,7.4,8.0,7.11,7.2
ELWT,2025-11-11,7.08,7.325,6.9,7.15
ELWT,2025-11-12,7.03,7.32,6.95,7.06
ELWT,2025-11-13,6.9,7.69,6.76,6.91
ELWT,2025-11-14,6.75,7.07,6.385,6.99
ELWT,2025-11-17,6.8,7.0699,6.8,6.97
ELWT,2025-11-18,6.96,7.63,6.83,7.44
ELWT,2025-11-19,7.19,7.701,7.0,7.49
ELWT,2025-11-20,7.25,8.15,6.94,7.75
ELWT,2025-11-21,7.77,7.865,7.63,7.63
ELWT,2025-11-24,7.63,7.63,6.8,7.1
ELWT,2025-11-25,7.15,7.15,6.91,7.025
ELWT,2025-11-26,7.0,7.0,6.55,6.85
ELWT,2025-11-28,6.84,6.84,6.62,6.65
ELWT,2025-12-01,6.39,6.89,6.24,6.63
ELWT,2025-12-02,6.71,6.925,6.5,6.5
ELWT,2025-12-03,6.65,7.325,6.29,6.6
ELWT,2025-12-04,6.63,6.98,6.385,6.79
ELWT,2025-12-05,6.79,6.92,6.3,6.65
ELWT,2025-12-08,6.76,6.76,5.66,5.83
ELWT,2025-12-09,5.47,7.24,5.2,6.71
ELWT,2025-12-10,6.46,7.1601,5.72,6.2
ELWT,2025-12-11,6.25,6.93,5.9,6.26
ELWT,2025-12-12,6.22,6.53,5.73,5.94
