ticker,date,open,high,low,close
EMIS,2025-10-22,9.91,9.95,9.9,9.95
EMIS,2025-10-23,9.9,9.94,9.9,9.94
EMIS,2025-10-24,9.9395,9.94,9.9,9.9
EMIS,2025-10-27,9.93,9.93,9.91,9.91
EMIS,2025-10-28,9.92,9.93,9.92,9.925
EMIS,2025-10-29,9.93,9.94,9.9235,9.94
EMIS,2025-10-30,9.93,9.945,9.92,9.935
EMIS,2025-10-31,9.94,9.945,9.935,9.94
EMIS,2025-11-03,9.93,9.94,9.93,9.93
EMIS,2025-11-04,9.94,9.95,9.93,9.94
EMIS,2025-11-05,9.945,9.945,9.94,9.94
EMIS,2025-11-06,9.94,9.96,9.94,9.95
EMIS,2025-11-19,9.9339,9.9339,9.9339,9.9339
EMIS,2025-11-20,9.93,9.935,9.92,9.92
EMIS,2025-11-25,9.92,9.96,9.92,9.96
EMIS,2025-11-28,9.96,9.96,9.96,9.96
EMIS,2025-12-01,9.96,9.96,9.94,9.94
EMIS,2025-12-02,9.95,9.95,9.95,9.95
EMIS,2025-12-03,9.96,9.99,9.94,9.99
EMIS,2025-12-04,10.0,10.0,9.965,9.9664
EMIS,2025-12-05,9.9308,10.02,9.9308,10.02
EMIS,2025-12-08,10.02,10.02,10.02,10.02
EMIS,2025-12-09,10.02,10.02,10.02,10.02
EMIS,2025-12-10,10.02,10.02,10.02,10.02
EMIS,2025-12-11,10.02,10.02,10.02,10.02
EMIS,2025-12-12,10.02,10.02,10.015,10.015
