ticker,date,open,high,low,close
EPWK,2025-02-06,4.1,4.35,4.1,4.11
EPWK,2025-02-07,4.01,4.23,4.01,4.15
EPWK,2025-02-10,4.2,4.32,4.15,4.23
EPWK,2025-02-11,4.158,4.3,4.1,4.2
EPWK,2025-02-12,4.28,4.32,4.14,4.25
EPWK,2025-02-13,4.4,4.45,3.8,4.22
EPWK,2025-02-14,4.1,4.35,4.01,4.25
EPWK,2025-02-18,4.39,4.73,4.2,4.5448
EPWK,2025-02-19,4.4529,4.561,4.28,4.42
EPWK,2025-02-20,4.4,4.72,4.35,4.61
EPWK,2025-02-21,4.7624,4.87,4.48,4.64
EPWK,2025-02-24,4.52,4.745,4.5,4.6
EPWK,2025-02-25,4.6001,4.6001,4.48,4.55
EPWK,2025-02-26,4.4,4.77,4.3,4.52
EPWK,2025-02-27,4.61,4.61,4.34,4.36
EPWK,2025-02-28,4.41,4.625,4.41,4.48
EPWK,2025-03-03,4.52,4.62,4.25,4.42
EPWK,2025-03-04,4.41,4.4812,4.16,4.39
EPWK,2025-03-05,4.38,4.6,4.2002,4.58
EPWK,2025-03-06,4.65,5.01,4.65,4.82
EPWK,2025-03-07,4.82,4.82,4.51,4.76
EPWK,2025-03-10,4.62,4.85,4.6,4.85
EPWK,2025-03-11,4.85,4.9963,4.7,4.8
EPWK,2025-03-12,4.8,4.85,4.6103,4.74
EPWK,2025-03-13,4.99,5.0,4.5,4.75
EPWK,2025-03-14,4.75,4.89,4.59,4.84
EPWK,2025-03-17,4.84,4.85,4.65,4.82
EPWK,2025-03-18,4.69,4.9,4.65,4.9
EPWK,2025-03-19,4.85,5.09,4.79,4.99
EPWK,2025-03-20,4.96,4.96,4.62,4.74
EPWK,2025-03-21,4.8129,5.34,4.68,5.18
EPWK,2025-03-24,5.2,5.3,5.1,5.17
EPWK,2025-03-25,5.14,5.27,4.7802,4.98
EPWK,2025-03-26,4.95,5.0852,4.73,4.85
EPWK,2025-03-27,4.87,4.98,4.785,4.89
EPWK,2025-03-28,4.83,4.9,4.76,4.89
EPWK,2025-03-31,4.85,4.9299,4.8,4.9
EPWK,2025-04-01,4.84,5.09,4.8,5.08
EPWK,2025-04-02,4.96,5.31,4.96,5.17
EPWK,2025-04-03,5.1309,5.3999,5.1309,5.3
EPWK,2025-04-04,5.25,5.25,5.09,5.25
EPWK,2025-04-07,5.13,5.25,4.79,4.94
EPWK,2025-04-08,4.9899,5.05,4.75,4.81
EPWK,2025-04-09,4.8,5.76,4.8,4.9
EPWK,2025-04-10,4.83,4.9499,4.5532,4.91
EPWK,2025-04-11,4.84,5.079,4.7315,4.99
EPWK,2025-04-14,4.99,5.36,4.75,4.75
EPWK,2025-04-15,4.77,4.96,4.5,4.77
EPWK,2025-04-16,4.69,5.1,4.6,5.01
EPWK,2025-04-17,4.802,5.3,4.802,5.16
EPWK,2025-04-21,5.19,5.3,4.94,5.14
EPWK,2025-04-22,5.12,5.49,4.82,5.39
EPWK,2025-04-23,5.22,9.9899,5.1,8.12
EPWK,2025-04-24,8.08,11.11,8.08,10.9
EPWK,2025-04-25,10.5913,14.2,10.5913,12.71
EPWK,2025-04-28,13.0,13.94,13.0,13.94
EPWK,2025-04-29,14.44,16.78,13.86,16.78
EPWK,2025-04-30,16.59,19.47,16.59,19.0
EPWK,2025-05-01,20.46,23.9,18.0,23.48
EPWK,2025-05-02,23.6,23.6,19.05,22.42
EPWK,2025-05-05,22.1069,22.1069,5.2,5.61
EPWK,2025-05-06,5.33,7.3999,5.33,6.78
EPWK,2025-05-07,6.4,7.7046,6.4,7.23
EPWK,2025-05-08,7.1,8.13,6.92,8.0
EPWK,2025-05-09,8.01,8.42,7.3,7.34
EPWK,2025-05-12,6.41,6.41,5.75,6.41
EPWK,2025-05-13,6.39,6.9917,6.39,6.71
EPWK,2025-05-14,6.38,7.25,6.38,7.2
EPWK,2025-05-15,7.3,8.17,7.085,7.92
EPWK,2025-05-16,7.98,8.2,7.5,8.08
EPWK,2025-05-19,7.9,8.64,7.88,8.45
EPWK,2025-05-20,8.59,8.65,8.3,8.595
EPWK,2025-05-21,8.7,8.91,8.25,8.7
EPWK,2025-05-22,8.6,9.829,8.38,8.955
EPWK,2025-05-23,8.9,10.4999,8.1,10.26
EPWK,2025-05-27,10.24,10.48,9.01,9.02
EPWK,2025-05-28,8.96,10.03,8.94,9.28
EPWK,2025-05-29,9.39,9.49,8.97,9.38
EPWK,2025-05-30,9.41,9.6,8.73,9.545
EPWK,2025-06-02,9.5,9.84,8.7,9.17
EPWK,2025-06-03,9.02,9.48,8.97,9.26
EPWK,2025-06-04,9.21,9.6284,8.96,9.05
EPWK,2025-06-05,9.06,12.76,1.5106,1.64
EPWK,2025-06-06,1.47,1.47,0.53,0.625
EPWK,2025-06-09,0.62,0.66,0.51,0.59
EPWK,2025-06-10,0.5425,0.645,0.5425,0.605
EPWK,2025-06-11,0.5526,0.6122,0.5526,0.5705
EPWK,2025-06-12,0.545,0.6249,0.545,0.5801
EPWK,2025-06-13,0.5798,0.6189,0.5551,0.583
EPWK,2025-06-16,0.5611,0.5799,0.4636,0.5438
EPWK,2025-06-17,0.55,0.5509,0.4694,0.478
EPWK,2025-06-18,0.4703,0.5,0.4111,0.45
EPWK,2025-06-20,0.4122,0.54,0.4122,0.51
EPWK,2025-06-23,0.5064,0.51,0.465,0.4995
EPWK,2025-06-24,0.46,0.499,0.46,0.495
EPWK,2025-06-25,0.495,0.61,0.4865,0.5733
EPWK,2025-06-26,0.55,0.56651,0.518,0.5349
EPWK,2025-06-27,0.5044,0.53,0.4835,0.509
EPWK,2025-06-30,0.504,0.55,0.49,0.5179
EPWK,2025-07-01,0.4914,0.54,0.4914,0.5101
EPWK,2025-07-02,0.5175,0.5498,0.515,0.52
EPWK,2025-07-03,0.52,0.5361,0.4906,0.503
EPWK,2025-07-07,0.502,0.52,0.4704,0.498
EPWK,2025-07-08,0.49,0.52,0.49,0.52
EPWK,2025-07-09,0.502,0.5293,0.49,0.529
EPWK,2025-07-10,0.5289,0.5289,0.5021,0.5233
EPWK,2025-07-11,0.5198,0.5198,0.5198,0.5198
EPWK,2025-07-14,0.53,0.53,0.5032,0.515
EPWK,2025-07-15,0.5079,0.6355,0.503,0.581
EPWK,2025-07-16,0.5786,0.58,0.53,0.5588
EPWK,2025-07-17,0.542,0.61,0.5401,0.5848
EPWK,2025-07-18,0.57,0.64,0.57,0.599
EPWK,2025-07-21,0.5822,0.6099,0.5822,0.5909
EPWK,2025-07-22,0.5874,0.5909,0.5601,0.569
EPWK,2025-07-23,0.567,0.5771,0.542,0.56
EPWK,2025-07-24,0.5502,0.6,0.5502,0.565
EPWK,2025-07-25,0.5688,0.62,0.552,0.59
EPWK,2025-07-28,0.581,0.61,0.58,0.5999
EPWK,2025-07-29,0.588,0.5999,0.493,0.53
EPWK,2025-07-30,0.5073,0.54,0.4911,0.4931
EPWK,2025-07-31,0.49,0.52,0.488,0.495
EPWK,2025-08-01,0.4801,0.4833,0.4321,0.458
EPWK,2025-08-04,0.456,0.4919,0.456,0.47
EPWK,2025-08-05,0.4559,0.57,0.45471,0.5199
EPWK,2025-08-06,0.4652,0.548,0.4652,0.497
EPWK,2025-08-07,0.4821,0.495485,0.45,0.4574
EPWK,2025-08-08,0.4575,0.509899,0.4575,0.4898
EPWK,2025-08-11,0.463,0.4909,0.4625,0.476
EPWK,2025-08-12,0.46,0.476,0.44,0.476
EPWK,2025-08-13,0.4455,0.4759,0.4425,0.468
EPWK,2025-08-14,0.45,0.46,0.4102,0.4499
EPWK,2025-08-15,0.4521,0.4521,0.4126,0.4289
EPWK,2025-08-18,0.416,0.46,0.416,0.446
EPWK,2025-08-19,0.4394,0.4395,0.422,0.4263
EPWK,2025-08-20,0.4263,0.4419,0.4138,0.425
EPWK,2025-08-21,0.4123,0.4423,0.4123,0.4423
EPWK,2025-08-22,0.429,0.47,0.429,0.4514
EPWK,2025-08-25,0.4303,0.46,0.4176,0.4224
EPWK,2025-08-26,0.4124,0.446357,0.3,0.3118
EPWK,2025-08-27,0.3345,0.46,0.2859,0.3383
EPWK,2025-08-28,0.3308,0.3356,0.305,0.305
EPWK,2025-08-29,0.3061,0.339,0.3,0.32445
EPWK,2025-09-02,0.319,0.333,0.319,0.319
EPWK,2025-09-03,0.301,0.3358,0.301,0.3263
EPWK,2025-09-04,0.3191,0.329,0.3101,0.3189
EPWK,2025-09-05,0.302,0.3142,0.2922,0.3022
EPWK,2025-09-08,0.3022,0.3199,0.3002,0.3147
EPWK,2025-09-09,0.313,0.41,0.313,0.3864
EPWK,2025-09-10,0.3653,0.6,0.3611,0.5363
EPWK,2025-09-11,0.4796,0.6847,0.466,0.5979
EPWK,2025-09-12,0.649,0.649,0.5283,0.5618
EPWK,2025-09-15,0.5214,0.55,0.4824,0.4853
EPWK,2025-09-16,0.45,0.46,0.37,0.43
EPWK,2025-09-17,0.454,0.46,0.42,0.4341
EPWK,2025-09-18,0.43,0.4529,0.4182,0.4325
EPWK,2025-09-19,0.42,0.456,0.42,0.4397
EPWK,2025-09-22,0.46,0.4824,0.4376,0.456
EPWK,2025-09-23,0.4314,0.4699,0.4274,0.45
EPWK,2025-09-24,0.4365,0.461,0.4,0.4086
EPWK,2025-09-25,0.4,0.414,0.383,0.4082
EPWK,2025-09-26,0.41,0.4267,0.4,0.411
