ticker,date,open,high,low,close
FIGR,2025-09-11,36.0,38.05,30.13,31.11
FIGR,2025-09-12,30.21,36.58,30.01,32.5
FIGR,2025-09-15,33.5,40.39,33.47,37.33
FIGR,2025-09-16,39.325,42.75,37.8,40.48
FIGR,2025-09-17,42.525,43.8,36.45,37.11
FIGR,2025-09-18,38.515,46.1985,38.2602,43.175
FIGR,2025-09-19,42.955,45.74,41.1,44.97
FIGR,2025-09-22,45.85,45.9,42.043,43.09
FIGR,2025-09-23,43.075,43.075,39.08,39.6
FIGR,2025-09-24,40.16,41.2,38.31,40.69
FIGR,2025-09-25,38.69,41.5,36.54,40.33
FIGR,2025-09-26,39.4,39.8899,38.38,39.25
FIGR,2025-09-29,39.97,41.18,37.0,37.75
FIGR,2025-09-30,37.74,38.14,35.57,36.37
FIGR,2025-10-01,36.35,39.35,35.88,37.82
FIGR,2025-10-02,37.9,41.72,37.16,41.28
FIGR,2025-10-03,41.2,42.5,39.55,40.3
FIGR,2025-10-06,41.02,44.4899,41.02,43.59
FIGR,2025-10-07,44.0,49.45,43.1,44.23
FIGR,2025-10-08,45.855,49.25,43.6,49.17
FIGR,2025-10-09,49.0,49.5,46.01,48.03
FIGR,2025-10-10,48.03,48.5,42.0407,42.25
FIGR,2025-10-13,43.76,44.88,41.5,44.0
FIGR,2025-10-14,41.89,45.85,40.51,44.46
FIGR,2025-10-15,46.02,46.1,42.63,44.71
FIGR,2025-10-16,44.34,44.555,39.8,40.46
FIGR,2025-10-17,39.5,40.32,37.275,38.46
FIGR,2025-10-20,39.885,42.15,39.39,40.69
FIGR,2025-10-21,40.4,40.98,39.21,39.24
FIGR,2025-10-22,39.01,39.69,37.57,38.05
FIGR,2025-10-23,38.49,40.48,38.285,40.03
FIGR,2025-10-24,41.0,41.58,39.92,39.97
FIGR,2025-10-27,41.14,43.0,40.5,41.75
FIGR,2025-10-28,42.25,44.98,41.77,43.26
FIGR,2025-10-29,43.6,44.31,42.39,42.56
FIGR,2025-10-30,41.76,41.85,37.8,40.69
FIGR,2025-10-31,41.0,41.14,38.84,39.6
FIGR,2025-11-03,39.34,41.955,39.15,41.84
FIGR,2025-11-04,39.58,40.1099,37.65,38.27
FIGR,2025-11-05,38.27,39.53,37.56,38.685
FIGR,2025-11-06,38.81,39.09,34.89,35.69
FIGR,2025-11-07,34.65,37.01,33.55,36.56
FIGR,2025-11-10,37.34,38.65,36.315,37.6
FIGR,2025-11-11,37.02,37.64,34.9,36.16
FIGR,2025-11-12,36.4,37.59,34.83,37.28
FIGR,2025-11-13,36.25,36.72,33.86,34.75
FIGR,2025-11-14,35.5,43.62,35.4671,40.24
FIGR,2025-11-17,42.3376,46.46,41.8701,42.28
FIGR,2025-11-18,40.012,41.9,37.78,39.19
FIGR,2025-11-19,39.29,39.48,36.03,37.2
FIGR,2025-11-20,38.5499,39.37,34.7,35.5
FIGR,2025-11-21,34.99,35.34,32.8,34.8
FIGR,2025-11-24,35.5,36.32,34.6,35.765
FIGR,2025-11-25,35.11,35.34,32.93,33.711
FIGR,2025-11-26,33.75,35.33,32.91,35.31
FIGR,2025-11-28,35.86,37.25,35.31,36.24
FIGR,2025-12-01,34.88,35.46,33.9,35.08
FIGR,2025-12-02,35.21,36.1082,34.2,35.27
FIGR,2025-12-03,35.22,35.95,34.38,35.38
FIGR,2025-12-04,35.4,39.7,35.3276,39.02
FIGR,2025-12-05,38.77,39.49,37.6,39.0
FIGR,2025-12-08,39.4,41.17,39.12,40.78
FIGR,2025-12-09,40.14,41.4,39.95,40.57
FIGR,2025-12-10,40.66,40.9,38.01,39.75
FIGR,2025-12-11,39.53,42.8499,38.74,42.05
FIGR,2025-12-12,42.23,42.7792,39.73,41.16
