ticker,date,open,high,low,close
FRMI,2025-10-01,25.0,33.46,24.5,32.53
FRMI,2025-10-02,36.09,36.9899,27.39,28.78
FRMI,2025-10-03,30.01,31.55,27.8,28.6
FRMI,2025-10-06,28.65,29.29,25.87,26.35
FRMI,2025-10-07,25.69,28.25,24.3,28.17
FRMI,2025-10-08,27.37,28.67,26.27,26.84
FRMI,2025-10-09,27.15,27.8417,26.05,26.77
FRMI,2025-10-10,27.0,30.0,26.47,29.08
FRMI,2025-10-13,28.11,32.32,27.81,30.01
FRMI,2025-10-14,29.11,30.5481,28.08,29.59
FRMI,2025-10-15,30.89,31.0,27.8001,28.5
FRMI,2025-10-16,28.5,31.47,28.0,29.66
FRMI,2025-10-17,28.57,28.705,26.7096,27.0
FRMI,2025-10-20,27.6,28.0,24.11,25.39
FRMI,2025-10-21,24.755,24.805,21.26,21.71
FRMI,2025-10-22,21.85,23.1,18.7,19.89
FRMI,2025-10-23,19.97,21.64,18.9,19.84
FRMI,2025-10-24,20.84,23.99,20.77,23.54
FRMI,2025-10-27,25.52,25.65,23.0,23.83
FRMI,2025-10-28,25.65,30.9,25.49,29.86
FRMI,2025-10-29,28.515,29.83,27.93,28.71
FRMI,2025-10-30,28.68,28.69,25.5,27.39
FRMI,2025-10-31,27.76,30.02,26.11,26.215
FRMI,2025-11-03,27.58,29.31,27.18,27.99
FRMI,2025-11-04,26.455,28.25,24.75,26.62
FRMI,2025-11-05,27.54,28.9,25.7,26.45
FRMI,2025-11-06,27.0,27.075,24.73,25.64
FRMI,2025-11-07,24.79,24.81,22.78,24.35
FRMI,2025-11-10,24.6,25.6978,23.895,25.305
FRMI,2025-11-11,23.75,23.75,21.6,21.91
FRMI,2025-11-12,22.31,22.37,21.165,21.73
FRMI,2025-11-13,21.65,21.74,17.195,17.48
FRMI,2025-11-14,17.2,18.5294,16.3,18.27
FRMI,2025-11-17,18.04,19.0,16.935,18.35
FRMI,2025-11-18,17.595,19.22,16.77,18.36
FRMI,2025-11-19,18.36,18.76,16.7,16.89
FRMI,2025-11-20,17.96,18.05,15.36,15.41
FRMI,2025-11-21,15.84,15.9,13.64,14.35
FRMI,2025-11-24,13.84,14.915,12.875,14.4567
FRMI,2025-11-25,14.59,15.04,13.4,14.105
FRMI,2025-11-26,14.14,16.05,14.01,15.81
FRMI,2025-11-28,16.16,16.89,16.05,16.485
FRMI,2025-12-01,16.3,16.75,15.36,16.45
FRMI,2025-12-02,16.42,16.6,15.2,15.211
FRMI,2025-12-03,15.08,15.22,14.11,14.66
FRMI,2025-12-04,14.62,16.66,14.25,15.91
FRMI,2025-12-05,15.78,16.0535,14.7,15.16
FRMI,2025-12-08,15.15,16.41,15.135,15.68
FRMI,2025-12-09,15.55,16.66,15.365,16.153
FRMI,2025-12-10,16.03,16.045,14.9279,15.37
FRMI,2025-12-11,15.005,15.7,13.91,15.25
FRMI,2025-12-12,9.2,10.88,8.3,10.09
