ticker,date,open,high,low,close
FWDI,2025-11-17,9.08,9.43,8.32,8.5
FWDI,2025-11-18,8.55,8.96,8.24,8.49
FWDI,2025-11-19,8.44,8.9999,8.02,8.33
FWDI,2025-11-20,8.63,9.013,7.94,8.04
FWDI,2025-11-21,7.81,8.225,7.57,8.165
FWDI,2025-11-24,8.12,8.68,7.9001,8.55
FWDI,2025-11-25,8.55,8.59,8.02,8.43
FWDI,2025-11-26,8.56,8.79,8.35,8.54
FWDI,2025-11-28,8.54,9.28,8.54,8.9
FWDI,2025-12-01,8.48,8.55,7.84,7.86
FWDI,2025-12-02,7.9,8.455,7.88,8.29
FWDI,2025-12-03,8.2,8.54,7.86,8.51
FWDI,2025-12-04,8.35,8.69,8.1,8.61
FWDI,2025-12-05,8.53,8.94,8.16,8.2
FWDI,2025-12-08,8.42,8.42,7.91,7.98
FWDI,2025-12-09,7.9,8.57,7.9,8.18
FWDI,2025-12-10,8.18,8.18,7.395,7.74
FWDI,2025-12-11,7.69,7.7015,7.39,7.58
FWDI,2025-12-12,7.57,8.14,7.26,7.56
