ticker,date,open,high,low,close
GEMI,2025-09-12,37.01,45.89,31.56,32.0
GEMI,2025-09-15,33.5,34.69,31.7,32.52
GEMI,2025-09-16,33.0,33.22,28.03,28.13
GEMI,2025-09-17,28.32,28.87,23.6001,24.525
GEMI,2025-09-18,25.17,26.65,23.51,24.47
GEMI,2025-09-19,24.3,24.62,23.1701,24.14
GEMI,2025-09-22,23.22,24.07,22.6109,23.43
GEMI,2025-09-23,23.5,26.5,22.88,24.35
GEMI,2025-09-24,24.47,24.89,23.6423,24.28
GEMI,2025-09-25,23.79,25.82,23.08,25.14
GEMI,2025-09-26,25.3,25.37,23.32,23.84
GEMI,2025-09-29,23.95,24.85,23.144,24.73
GEMI,2025-09-30,24.44,24.49,23.23,23.96
GEMI,2025-10-01,23.9,24.5,22.75,22.82
GEMI,2025-10-02,23.01,23.75,22.25,23.2
GEMI,2025-10-03,23.31,25.19,23.15,24.78
GEMI,2025-10-06,25.4041,26.75,24.56,25.29
GEMI,2025-10-07,25.47,26.44,24.25,24.27
GEMI,2025-10-08,24.25,26.25,23.98,25.65
GEMI,2025-10-09,25.7,26.34,25.0901,25.41
GEMI,2025-10-10,25.41,25.41,23.11,23.3
GEMI,2025-10-13,23.47,23.67,22.2,23.45
GEMI,2025-10-14,22.47,23.3,21.7,22.65
GEMI,2025-10-15,23.11,23.11,21.8,22.36
GEMI,2025-10-16,22.08,22.45,20.49,20.52
GEMI,2025-10-17,20.0,20.12,19.19,19.68
GEMI,2025-10-20,19.82,20.78,19.7,20.66
GEMI,2025-10-21,20.3,20.79,19.58,20.24
GEMI,2025-10-22,19.31,19.31,18.84,19.31
GEMI,2025-10-23,19.48,19.9099,19.3,19.56
GEMI,2025-10-24,19.97,20.7337,19.74,19.76
GEMI,2025-10-27,20.31,20.7,19.9601,20.33
GEMI,2025-10-28,20.22,20.93,19.665,19.93
GEMI,2025-10-29,19.75,19.92,18.9,19.21
GEMI,2025-10-30,18.88,19.05,17.4,17.5
GEMI,2025-10-31,17.63,18.61,17.4445,18.365
GEMI,2025-11-03,18.01,18.1764,17.062,17.81
GEMI,2025-11-04,16.99,17.47,16.25,16.29
GEMI,2025-11-05,16.69,17.77,16.2236,16.87
GEMI,2025-11-06,16.76,16.85,15.91,15.99
GEMI,2025-11-07,15.58,16.59,15.02,16.18
GEMI,2025-11-10,16.4,17.225,16.11,16.83
GEMI,2025-11-11,15.03,15.29,13.81,14.07
GEMI,2025-11-12,14.195,14.28,13.65,13.78
GEMI,2025-11-13,13.6,13.69,12.22,12.445
GEMI,2025-11-14,11.91,12.88,11.91,12.62
GEMI,2025-11-17,12.46,12.49,11.4,11.57
GEMI,2025-11-18,11.48,12.21,11.3101,12.071
GEMI,2025-11-19,12.01,12.08,11.0745,11.41
GEMI,2025-11-20,11.67,11.8,10.485,10.56
GEMI,2025-11-21,10.38,10.72,10.0753,10.63
GEMI,2025-11-24,10.77,10.85,10.0503,10.76
GEMI,2025-11-25,10.58,10.64,9.85,10.5
GEMI,2025-11-26,10.5751,10.82,10.26,10.77
GEMI,2025-11-28,10.8,11.3139,10.8,11.0
GEMI,2025-12-01,10.71,10.74,9.775,9.88
GEMI,2025-12-02,10.16,10.39,9.7,9.7
GEMI,2025-12-03,9.805,11.11,9.674,10.76
GEMI,2025-12-04,10.82,12.21,10.7305,11.86
GEMI,2025-12-05,11.7,12.32,11.32,11.45
GEMI,2025-12-08,11.75,11.9,11.02,11.23
GEMI,2025-12-09,11.03,11.7389,10.84,11.44
GEMI,2025-12-10,11.21,11.57,10.5739,11.36
GEMI,2025-12-11,12.82,15.27,11.79,14.99
GEMI,2025-12-12,14.13,14.95,13.0842,13.22
