ticker,date,open,high,low,close
GLOO,2025-11-19,8.05,8.48,7.96,8.08
GLOO,2025-11-20,8.0,9.35,8.0,9.09
GLOO,2025-11-21,9.0,9.9804,8.58,9.7
GLOO,2025-11-24,9.59,9.9088,9.0,9.21
GLOO,2025-11-25,9.37,9.6864,9.11,9.28
GLOO,2025-11-26,9.23,9.52,8.96,9.04
GLOO,2025-11-28,9.0,9.26,8.25,8.85
GLOO,2025-12-01,8.61,9.05,8.61,8.77
GLOO,2025-12-02,8.69,8.835,7.51,8.0
GLOO,2025-12-03,8.0,8.0731,7.5,7.73
GLOO,2025-12-04,7.6,7.99,7.0,7.285
GLOO,2025-12-05,7.27,8.01,7.27,7.72
GLOO,2025-12-08,7.84,8.015,7.38,7.68
GLOO,2025-12-09,7.57,7.85,7.2501,7.6
GLOO,2025-12-10,7.72,7.72,6.95,7.1
GLOO,2025-12-11,7.15,7.2189,6.49,6.5
GLOO,2025-12-12,6.53,7.32,6.22,7.19
