ticker,date,open,high,low,close
HERE,2025-11-12,5.9,6.06,5.45,5.51
HERE,2025-11-13,5.48,5.85,5.47,5.63
HERE,2025-11-14,5.5,5.6598,5.36,5.46
HERE,2025-11-17,5.4,5.54,5.21,5.26
HERE,2025-11-18,5.18,5.39,5.08,5.33
HERE,2025-11-19,5.25,5.27,4.95,5.01
HERE,2025-11-20,5.05,5.39,4.8,4.9
HERE,2025-11-21,4.8,4.95,4.5,4.73
HERE,2025-11-24,4.9,5.21,4.715,5.145
HERE,2025-11-25,5.22,5.5644,5.18,5.41
HERE,2025-11-26,5.41,5.62,5.39,5.39
HERE,2025-11-28,5.39,5.48,5.03,5.04
HERE,2025-12-01,5.1,5.26,4.71,4.76
HERE,2025-12-02,5.1,5.19,4.5,4.58
HERE,2025-12-03,4.58,4.6,4.38,4.565
HERE,2025-12-04,4.64,4.99,4.47,4.96
HERE,2025-12-05,5.01,5.73,5.01,5.25
HERE,2025-12-08,5.49,5.49,5.095,5.17
HERE,2025-12-09,5.07,5.35,4.965,5.3
HERE,2025-12-10,5.31,5.31,5.125,5.17
HERE,2025-12-11,5.15,5.19,5.0408,5.15
HERE,2025-12-12,5.2,5.275,5.07,5.09
