ticker,date,open,high,low,close
HTFL,2025-08-08,28.0,31.5,26.56,28.75
HTFL,2025-08-11,28.75,31.7,28.27,29.96
HTFL,2025-08-12,29.91,30.3096,28.4079,29.9
HTFL,2025-08-13,30.21,33.5,29.58,33.24
HTFL,2025-08-14,33.79,36.68,32.85,33.69
HTFL,2025-08-15,34.0,34.8,30.01,31.17
HTFL,2025-08-18,31.17,32.0,29.11,29.97
HTFL,2025-08-19,29.78,31.3238,28.63,30.67
HTFL,2025-08-20,30.51,31.125,28.7,29.31
HTFL,2025-08-21,29.52,29.74,28.87,28.93
HTFL,2025-08-22,29.17,29.83,28.729,29.165
HTFL,2025-08-25,29.36,30.9799,29.36,29.84
HTFL,2025-08-26,29.84,31.4,29.7482,31.38
HTFL,2025-08-27,31.38,36.25,31.06,34.76
HTFL,2025-08-28,35.37,35.99,31.46,32.14
HTFL,2025-08-29,32.01,32.44,30.41,31.5
HTFL,2025-09-02,30.51,33.24,30.49,31.16
HTFL,2025-09-03,31.28,32.13,29.4,31.28
HTFL,2025-09-04,31.23,34.98,31.03,34.085
HTFL,2025-09-05,34.44,35.9,30.78,31.07
HTFL,2025-09-08,32.8995,34.8,31.35,34.42
HTFL,2025-09-09,33.96,36.495,33.33,34.7
HTFL,2025-09-10,34.52,35.64,33.19,33.48
HTFL,2025-09-11,33.56,34.75,33.02,33.17
HTFL,2025-09-12,33.43,34.525,32.583,33.38
HTFL,2025-09-15,33.84,34.68,32.56,32.89
HTFL,2025-09-16,32.78,33.6751,31.06,31.22
HTFL,2025-09-17,31.05,32.69,30.55,31.765
HTFL,2025-09-18,31.78,33.965,31.78,32.39
HTFL,2025-09-19,32.4,33.7943,31.94,32.725
HTFL,2025-09-22,32.62,33.52,31.15,31.43
HTFL,2025-09-23,32.0,36.25,31.01,35.87
HTFL,2025-09-24,36.35,36.53,34.445,34.49
HTFL,2025-09-25,33.97,34.69,33.0,33.92
HTFL,2025-09-26,33.89,35.14,32.53,33.06
HTFL,2025-09-29,33.81,34.57,32.37,34.5
HTFL,2025-09-30,34.15,34.87,33.34,33.72
HTFL,2025-10-01,33.22,36.65,33.22,35.92
HTFL,2025-10-02,36.32,36.7423,34.5,36.19
HTFL,2025-10-03,36.2,38.515,36.04,37.64
HTFL,2025-10-06,38.09,39.24,37.11,37.28
HTFL,2025-10-07,37.17,37.8,34.6,34.99
HTFL,2025-10-08,35.25,37.09,34.815,35.76
HTFL,2025-10-09,35.76,37.2899,32.74,32.89
HTFL,2025-10-10,32.94,34.43,32.7,33.47
HTFL,2025-10-13,33.47,35.26,33.0,33.22
HTFL,2025-10-14,33.45,35.48,32.09,34.51
HTFL,2025-10-15,35.3,35.3,33.8,34.52
HTFL,2025-10-16,34.29,35.0,33.155,33.47
HTFL,2025-10-17,33.39,33.95,32.85,33.77
HTFL,2025-10-20,34.17,35.32,33.85,35.05
HTFL,2025-10-21,34.92,36.96,34.76,36.79
HTFL,2025-10-22,36.79,39.45,36.79,39.305
HTFL,2025-10-23,39.37,40.7211,38.7501,39.91
HTFL,2025-10-24,40.48,41.2231,37.85,37.87
HTFL,2025-10-27,38.63,40.24,37.06,38.34
HTFL,2025-10-28,39.0,40.58,37.27,38.3
HTFL,2025-10-29,38.3,39.74,37.055,37.375
HTFL,2025-10-30,37.2,38.486,36.57,36.57
HTFL,2025-10-31,36.52,37.27,36.27,37.04
HTFL,2025-11-03,37.2,37.98,33.89,33.89
HTFL,2025-11-04,33.92,35.09,33.52,33.89
HTFL,2025-11-05,33.79,34.88,32.9,34.71
HTFL,2025-11-06,35.3,35.3,33.76,34.49
HTFL,2025-11-07,34.52,36.27,32.2561,32.56
HTFL,2025-11-10,33.51,34.975,32.96,33.814
HTFL,2025-11-11,34.0,35.57,32.89,34.17
HTFL,2025-11-12,34.39,35.88,33.79,35.83
HTFL,2025-11-13,34.65,34.65,29.85,30.94
HTFL,2025-11-14,30.03,30.59,27.5475,27.97
HTFL,2025-11-17,27.63,27.85,25.75,26.4
HTFL,2025-11-18,26.1,28.44,26.1,27.26
HTFL,2025-11-19,27.99,28.27,26.635,27.22
HTFL,2025-11-20,27.86,29.72,27.25,27.615
HTFL,2025-11-21,27.96,31.03,26.76,30.8
HTFL,2025-11-24,31.26,32.21,30.85,30.85
HTFL,2025-11-25,30.2,32.55,29.9901,32.52
HTFL,2025-11-26,32.74,33.06,31.06,31.42
HTFL,2025-11-28,31.99,33.1,31.7875,32.25
HTFL,2025-12-01,32.01,32.01,29.28,30.15
HTFL,2025-12-02,30.12,31.24,28.13,29.62
HTFL,2025-12-03,29.79,30.36,27.8,28.07
HTFL,2025-12-04,28.11,29.0657,27.58,28.935
HTFL,2025-12-05,28.99,29.535,27.35,27.53
HTFL,2025-12-08,27.93,29.76,27.79,27.84
HTFL,2025-12-09,27.68,28.92,26.63,26.87
HTFL,2025-12-10,26.9,28.53,26.57,28.11
HTFL,2025-12-11,28.57,29.47,27.82,28.35
HTFL,2025-12-12,29.0,29.0,26.44,26.48
