ticker,date,open,high,low,close
IPEX,2025-11-25,10.29,10.32,10.29,10.3
IPEX,2025-11-26,10.3,10.33,10.29,10.305
IPEX,2025-11-28,10.33,10.33,10.27,10.27
IPEX,2025-12-01,10.31,10.31,10.25,10.29
IPEX,2025-12-02,10.26,10.32,10.26,10.32
IPEX,2025-12-03,10.3,10.3,10.3,10.3
IPEX,2025-12-04,10.25,10.3,10.25,10.3
IPEX,2025-12-05,10.3,10.3,10.29,10.29
IPEX,2025-12-08,10.3,10.3,10.3,10.3
IPEX,2025-12-09,10.29,10.29,10.29,10.29
IPEX,2025-12-10,10.2719,10.3,10.26,10.3
IPEX,2025-12-11,10.2777,10.29,10.2777,10.29
IPEX,2025-12-12,10.26,10.26,10.25,10.25
