ticker,date,open,high,low,close
LFS,2025-10-09,3.5,3.75,2.75,3.11
LFS,2025-10-10,4.6,5.73,3.1,4.2
LFS,2025-10-13,3.7,3.91,3.3799,3.69
LFS,2025-10-14,3.51,3.8,3.4301,3.62
LFS,2025-10-15,3.49,3.59,3.3601,3.4571
LFS,2025-10-16,3.45,3.5789,3.35,3.4
LFS,2025-10-17,3.24,4.37,3.1,4.2
LFS,2025-10-20,4.0,4.18,3.7,3.75
LFS,2025-10-21,3.82,4.1,3.655,3.825
LFS,2025-10-22,3.64,4.04,3.61,3.62
LFS,2025-10-23,3.8,3.99,3.36,3.36
LFS,2025-10-24,3.4784,3.4784,2.93,2.95
LFS,2025-10-27,2.95,3.15,2.9,3.0
LFS,2025-10-28,3.05,3.46,3.05,3.33
LFS,2025-10-29,3.4,3.71,2.6,2.75
LFS,2025-10-30,2.95,3.075,2.7602,2.88
LFS,2025-10-31,3.03,3.0399,2.7569,2.86
LFS,2025-11-03,3.11,3.11,2.6,2.67
LFS,2025-11-04,2.8,2.875,2.62,2.62
LFS,2025-11-05,2.69,2.69,2.37,2.485
LFS,2025-11-06,2.28,2.47,1.9119,1.9893
LFS,2025-11-07,1.99,1.99,1.58,1.75
LFS,2025-11-10,1.75,1.83,1.62,1.68
LFS,2025-11-11,1.75,12.49,1.75,11.49
LFS,2025-11-12,9.9,9.9,6.05,6.78
LFS,2025-11-13,6.08,6.8899,5.15,5.48
LFS,2025-11-14,4.41,6.45,4.41,5.21
LFS,2025-11-17,5.05,5.25,3.8,3.87
LFS,2025-11-18,3.85,8.767,3.85,6.47
LFS,2025-11-19,5.9,6.43,4.59,5.03
LFS,2025-11-20,4.74,8.7,4.74,6.14
LFS,2025-11-21,6.02,6.5631,5.3301,5.82
LFS,2025-11-24,5.53,7.3,5.2701,5.41
LFS,2025-11-25,5.17,5.59,4.9,5.02
LFS,2025-11-26,5.08,5.7068,5.08,5.32
LFS,2025-11-28,5.21,5.55,5.0,5.1
LFS,2025-12-01,5.0,5.3,4.3501,5.01
LFS,2025-12-02,4.91,5.1199,4.6,4.6
LFS,2025-12-03,4.71,4.71,4.01,4.03
LFS,2025-12-04,4.2,5.03,4.1505,4.91
LFS,2025-12-05,4.81,4.93,4.39,4.39
LFS,2025-12-08,4.22,4.349,4.18,4.2375
LFS,2025-12-09,4.3551,4.74,4.3551,4.56
LFS,2025-12-10,4.38,4.44,3.89,3.9384
LFS,2025-12-11,4.0,4.202,3.925,4.07
LFS,2025-12-12,4.06,4.135,3.9,3.9
