ticker,date,open,high,low,close
LITS,2025-09-11,2.98,3.23,2.98,3.17
LITS,2025-09-12,3.16,3.2,2.82,2.93
LITS,2025-09-15,3.0,3.03,2.73,2.91
LITS,2025-09-16,2.83,2.94,2.66,2.69
LITS,2025-09-17,2.68,2.83,2.61,2.61
LITS,2025-09-18,2.67,2.83,2.64,2.71
LITS,2025-09-19,2.74,2.87,2.59,2.84
LITS,2025-09-22,2.8,2.8,2.58,2.58
LITS,2025-09-23,2.6,2.73,2.6,2.63
LITS,2025-09-24,2.67,2.73,2.62,2.7
LITS,2025-09-25,2.66,2.68,2.49,2.54
LITS,2025-09-26,2.52,2.5895,2.46,2.56
LITS,2025-09-29,2.57,2.6,2.42,2.54
LITS,2025-09-30,2.48,2.5009,2.28,2.4
LITS,2025-10-01,2.5,2.64,2.46,2.56
LITS,2025-10-02,2.63,2.74,2.55,2.68
LITS,2025-10-03,2.75,2.75,2.47,2.56
LITS,2025-10-06,2.58,2.75,2.57,2.6
LITS,2025-10-07,2.65,2.6791,2.42,2.45
LITS,2025-10-08,2.45,2.53,2.31,2.5
LITS,2025-10-09,2.41,2.55,2.41,2.54
LITS,2025-10-10,2.91,2.97,2.45,2.47
LITS,2025-10-13,2.34,2.34,2.1,2.15
LITS,2025-10-14,2.11,2.22,2.03,2.19
LITS,2025-10-15,2.24,2.24,2.06,2.13
LITS,2025-10-16,2.15,2.18,1.81,1.85
LITS,2025-10-17,1.85,1.97,1.805,1.88
LITS,2025-10-20,1.91,2.01,1.88,1.98
LITS,2025-10-21,1.96,2.01,1.85,1.95
LITS,2025-10-22,1.86,1.86,1.81,1.86
LITS,2025-10-23,1.84,1.89,1.835,1.87
LITS,2025-10-24,1.92,1.985,1.86,1.94
LITS,2025-10-27,2.0,2.14,1.85,2.09
LITS,2025-10-28,2.14,2.14,1.91,1.93
LITS,2025-10-29,2.12,2.18,1.99,2.08
LITS,2025-10-30,2.065,2.09,1.93,1.93
LITS,2025-10-31,2.01,2.13,1.95,2.09
LITS,2025-11-03,2.11,2.11,1.91,1.92
LITS,2025-11-04,1.9,1.92,1.76,1.76
LITS,2025-11-05,1.88,1.89,1.81,1.85
LITS,2025-11-06,1.88,1.905,1.82,1.84
LITS,2025-11-07,1.85,2.18,1.82,2.1
LITS,2025-11-10,2.2,2.26,2.085,2.255
LITS,2025-11-11,2.19,2.2,2.03,2.08
LITS,2025-11-12,2.15,2.15,2.0,2.0199
LITS,2025-11-13,2.0,2.06,1.89,1.895
LITS,2025-11-14,1.85,2.07,1.85,2.01
LITS,2025-11-17,1.95,2.08,1.84,1.905
LITS,2025-11-18,1.87,2.0,1.85,1.93
LITS,2025-11-19,1.95,1.95,1.71,1.77
LITS,2025-11-20,1.85,1.91,1.66,1.7
LITS,2025-11-21,1.69,1.75,1.64,1.705
LITS,2025-11-24,1.72,1.84,1.645,1.83
LITS,2025-11-25,1.82,1.84,1.7525,1.84
LITS,2025-11-26,1.84,1.99,1.795,1.925
LITS,2025-11-28,1.93,1.945,1.85,1.89
LITS,2025-12-01,1.73,1.785,1.675,1.71
LITS,2025-12-02,1.73,1.82,1.73,1.8
LITS,2025-12-03,1.8,1.83,1.75,1.76
LITS,2025-12-04,1.75,1.765,1.69,1.75
LITS,2025-12-05,1.73,1.73,1.65,1.67
LITS,2025-12-08,1.73,1.73,1.67,1.72
LITS,2025-12-09,1.71,1.85,1.68,1.83
LITS,2025-12-10,1.8,1.86,1.75,1.85
LITS,2025-12-11,1.78,1.84,1.76,1.81
LITS,2025-12-12,1.78,1.82,1.71,1.71
