ticker,date,open,high,low,close
LNAI,2025-10-01,1.55,1.55,1.25,1.28
LNAI,2025-10-02,1.3,1.33,1.2,1.23
LNAI,2025-10-03,1.25,1.31,1.2214,1.29
LNAI,2025-10-06,1.29,1.39,1.2215,1.27
LNAI,2025-10-07,1.24,1.3,1.23,1.26
LNAI,2025-10-08,1.26,1.3059,1.21,1.24
LNAI,2025-10-09,1.24,1.2799,1.2001,1.24
LNAI,2025-10-10,1.22,1.2438,1.1208,1.13
LNAI,2025-10-13,1.15,1.17,1.11,1.16
LNAI,2025-10-14,1.14,1.25,1.13,1.24
LNAI,2025-10-15,1.21,1.27,1.21,1.24
LNAI,2025-10-16,1.27,1.4,1.22,1.22
LNAI,2025-10-17,1.22,1.2675,1.15,1.2
LNAI,2025-10-20,1.25,1.25,1.17,1.21
LNAI,2025-10-21,1.2,1.28,1.17,1.27
LNAI,2025-10-22,1.23,1.2427,0.902,1.0
LNAI,2025-10-23,1.03,1.07,1.0,1.04
LNAI,2025-10-24,1.04,1.1466,1.02,1.08
LNAI,2025-10-27,1.06,1.0967,1.02,1.05
LNAI,2025-10-28,1.05,1.08,1.01,1.04
LNAI,2025-10-29,1.03,1.045,0.925601,0.97
LNAI,2025-10-30,0.9596,1.06,0.9139,0.9409
LNAI,2025-10-31,0.97,0.97,0.8506,0.869
LNAI,2025-11-03,0.86,0.879,0.811,0.8709
LNAI,2025-11-04,0.8448,0.8893,0.8199,0.834
LNAI,2025-11-05,1.1,1.532,0.9127,1.17
LNAI,2025-11-06,1.09,1.1,1.0,1.02
LNAI,2025-11-07,0.93,0.9846,0.81,0.9331
LNAI,2025-11-10,0.89,0.9296,0.85,0.8946
LNAI,2025-11-11,0.858,0.8772,0.8101,0.87
LNAI,2025-11-12,0.8466,0.951,0.8242,0.9466
LNAI,2025-11-13,0.96,1.08,0.9054,1.025
LNAI,2025-11-14,1.03,1.19,0.96525,1.06
LNAI,2025-11-17,1.1,1.13,1.02,1.04
LNAI,2025-11-18,0.98,1.2,0.98,1.16
LNAI,2025-11-19,1.15,1.53,1.13,1.51
LNAI,2025-11-20,1.4,1.66,1.34,1.44
LNAI,2025-11-21,1.37,1.52,1.21,1.24
LNAI,2025-11-24,1.24,1.3265,1.2174,1.27
LNAI,2025-11-25,1.41,1.52,1.03,1.08
LNAI,2025-11-26,0.9817,1.32,0.9601,1.3
LNAI,2025-11-28,1.3,1.3,1.13,1.18
LNAI,2025-12-01,1.17,1.33,1.1601,1.31
LNAI,2025-12-02,1.3,1.3099,1.21,1.26
LNAI,2025-12-03,1.19,1.29,1.1101,1.25
LNAI,2025-12-04,1.17,1.31,1.16,1.3
LNAI,2025-12-05,1.28,1.2899,1.2,1.25
LNAI,2025-12-08,1.24,1.4,1.218,1.39
LNAI,2025-12-09,1.29,1.37,1.1801,1.26
LNAI,2025-12-10,1.24,1.25,1.13,1.19
LNAI,2025-12-11,1.19,1.195,1.15,1.16
LNAI,2025-12-12,1.13,1.15,1.06,1.07
