ticker,date,open,high,low,close
MLCI,2025-09-15,8.55,8.745,8.0,8.01
MLCI,2025-09-16,8.05,8.149,7.725,8.0
MLCI,2025-09-17,7.875,8.0,7.775,7.8
MLCI,2025-09-18,7.76,8.0,7.65,7.9
MLCI,2025-09-19,7.9,8.0,7.73,8.0
MLCI,2025-09-22,7.9,7.9,7.62,7.89
MLCI,2025-09-23,7.7156,8.0,7.701,7.84
MLCI,2025-09-24,7.8603,8.0,7.8,7.85
MLCI,2025-09-25,7.6,7.925,7.6,7.91
MLCI,2025-09-26,7.8,7.9,7.6516,7.9
MLCI,2025-09-29,7.8,7.95,7.7,7.95
MLCI,2025-09-30,7.96,8.0,7.8,7.8
MLCI,2025-10-01,7.91,8.0,7.7545,7.79
MLCI,2025-10-02,7.8,8.0,7.75,7.77
MLCI,2025-10-03,7.96,7.96,7.75,7.89
MLCI,2025-10-06,7.77,7.9,7.62,7.87
MLCI,2025-10-07,7.8,7.862,7.65,7.78
MLCI,2025-10-08,7.75,7.9,7.7,7.7
MLCI,2025-10-09,7.71,7.89,7.625,7.79
MLCI,2025-10-10,7.79,7.84,7.61,7.69
MLCI,2025-10-13,7.62,7.95,7.62,7.75
MLCI,2025-10-14,7.7,7.93,7.7,7.74
MLCI,2025-10-15,7.72,7.75,7.25,7.51
MLCI,2025-10-16,7.6,7.75,7.46,7.46
MLCI,2025-10-17,7.65,7.65,7.38,7.425
MLCI,2025-10-20,7.51,7.9,7.5,7.59
MLCI,2025-10-21,7.63,7.7999,7.3355,7.41
MLCI,2025-10-22,7.47,7.65,7.41,7.43
MLCI,2025-10-23,7.47,7.8,7.32,7.47
MLCI,2025-10-24,7.65,7.7094,7.45,7.67
MLCI,2025-10-27,7.62,7.85,7.62,7.84
MLCI,2025-10-28,7.75,7.85,7.45,7.68
MLCI,2025-10-29,7.6,7.72,7.29,7.32
MLCI,2025-10-30,7.33,7.53,7.25,7.48
MLCI,2025-10-31,7.45,7.58,7.29,7.54
MLCI,2025-11-03,7.35,7.59,7.35,7.4706
MLCI,2025-11-04,7.45,7.95,7.45,7.9
MLCI,2025-11-05,7.661,7.89,7.603,7.79
MLCI,2025-11-06,7.71,7.99,7.5827,7.89
MLCI,2025-11-07,7.67,7.93,7.5901,7.79
MLCI,2025-11-10,7.69,7.935,7.44,7.44
MLCI,2025-11-11,7.62,7.79,7.5,7.79
MLCI,2025-11-12,7.57,7.925,7.51,7.86
MLCI,2025-11-13,7.735,7.92,7.735,7.85
MLCI,2025-11-14,7.68,7.92,7.68,7.7
MLCI,2025-11-17,7.7,7.7,7.515,7.69
MLCI,2025-11-18,7.6,7.75,7.3683,7.64
MLCI,2025-11-19,7.5,7.74,7.46,7.615
MLCI,2025-11-20,7.79,7.79,7.57,7.66
MLCI,2025-11-21,7.4589,7.74,7.4589,7.58
MLCI,2025-11-24,7.5,7.72,7.45,7.61
MLCI,2025-11-25,7.53,7.78,7.45,7.77
MLCI,2025-11-26,7.62,7.95,7.5855,7.84
MLCI,2025-11-28,7.79,8.0,7.75,7.77
MLCI,2025-12-01,7.8,7.9,7.36,7.36
MLCI,2025-12-02,7.36,7.65,7.36,7.48
MLCI,2025-12-03,7.46,7.695,7.39,7.4
MLCI,2025-12-04,7.46,7.98,7.4,7.97
MLCI,2025-12-05,7.95,7.95,6.97,7.22
MLCI,2025-12-08,7.15,7.3686,7.0,7.19
MLCI,2025-12-09,7.325,7.48,7.1665,7.43
MLCI,2025-12-10,7.39,7.75,7.39,7.739
MLCI,2025-12-11,8.3,8.49,8.22,8.34
MLCI,2025-12-12,8.35,8.35,7.87,8.22
