ticker,date,open,high,low,close
NPT,2025-10-22,5.15,5.9,4.5,4.91
NPT,2025-10-23,4.44,5.19,4.44,5.07
NPT,2025-10-24,4.99,5.1,4.7001,4.92
NPT,2025-10-27,5.05,7.4999,4.87,6.37
NPT,2025-10-28,6.43,6.78,5.53,6.55
NPT,2025-10-29,6.11,9.0,6.11,8.95
NPT,2025-10-30,8.6,9.18,7.01,7.31
NPT,2025-10-31,6.91,7.38,5.9001,6.1
NPT,2025-11-03,6.15,6.691,5.75,6.29
NPT,2025-11-04,6.01,6.6293,5.7,5.7
NPT,2025-11-05,5.29,5.56,3.5798,4.55
NPT,2025-11-06,4.34,4.54,4.05,4.05
NPT,2025-11-07,4.3,4.68,4.05,4.27
NPT,2025-11-10,4.2,4.6,4.0038,4.16
NPT,2025-11-11,4.0647,4.38,4.0647,4.38
NPT,2025-11-12,4.25,4.31,3.79,4.0
NPT,2025-11-13,3.9,3.94,3.45,3.58
NPT,2025-11-14,3.6601,3.72,3.58,3.61
NPT,2025-11-17,3.77,3.77,3.54,3.59
NPT,2025-11-18,3.43,3.687,3.43,3.55
NPT,2025-11-19,3.44,3.51,3.14,3.35
NPT,2025-11-20,3.5,3.5,3.15,3.25
NPT,2025-11-21,3.21,3.41,3.2,3.41
NPT,2025-11-24,3.48,3.9,3.48,3.75
NPT,2025-11-25,3.735,4.9,3.735,4.47
NPT,2025-11-26,4.63,5.829,4.59,5.47
NPT,2025-11-28,5.49,5.5499,4.93,5.1
NPT,2025-12-01,5.098,5.32,4.8,5.21
NPT,2025-12-02,5.5,6.0,5.12,5.33
NPT,2025-12-03,5.2,5.42,4.5,5.19
NPT,2025-12-04,5.06,5.7,5.06,5.42
NPT,2025-12-05,5.3,5.3,5.0,5.0
NPT,2025-12-08,5.08,5.59,5.0,5.13
NPT,2025-12-09,5.12,5.205,5.04,5.06
NPT,2025-12-10,5.39,5.39,4.74,4.76
NPT,2025-12-11,4.76,4.96,4.2301,4.65
NPT,2025-12-12,4.95,5.9299,4.91,5.69
