ticker,date,open,high,low,close
NTSK,2025-09-18,23.0,24.4,21.88,22.49
NTSK,2025-09-19,24.23,25.58,22.9,24.815
NTSK,2025-09-22,25.15,27.99,24.8687,25.79
NTSK,2025-09-23,26.85,27.03,23.67,24.1
NTSK,2025-09-24,24.43,25.2,23.24,23.38
NTSK,2025-09-25,22.8,23.83,21.71,22.7
NTSK,2025-09-26,22.98,24.23,22.42,24.23
NTSK,2025-09-29,24.12,24.1931,22.6,23.95
NTSK,2025-09-30,23.9,23.9,22.15,22.79
NTSK,2025-10-01,22.5,22.81,21.02,21.3
NTSK,2025-10-02,21.68,22.78,21.57,22.67
NTSK,2025-10-03,22.45,23.29,22.45,23.15
NTSK,2025-10-06,23.15,23.4,22.08,22.13
NTSK,2025-10-07,22.2,22.44,21.41,22.03
NTSK,2025-10-08,22.32,23.01,21.722,22.49
NTSK,2025-10-09,22.49,22.8,21.95,21.96
NTSK,2025-10-10,22.36,22.49,21.0,21.75
NTSK,2025-10-13,22.26,23.6999,22.1,23.44
NTSK,2025-10-14,22.84,23.0999,22.07,22.45
NTSK,2025-10-15,23.01,23.7,22.55,22.86
NTSK,2025-10-16,23.09,23.5,22.28,22.81
NTSK,2025-10-17,22.5,22.7499,21.55,22.24
NTSK,2025-10-20,22.25,22.6819,21.63,22.31
NTSK,2025-10-21,22.29,23.0,21.95,22.55
NTSK,2025-10-22,21.79,21.79,21.4,21.79
NTSK,2025-10-23,21.91,23.065,21.844,23.0
NTSK,2025-10-24,23.0,23.7,22.46,22.47
NTSK,2025-10-27,23.05,24.15,22.915,23.99
NTSK,2025-10-28,23.99,24.0,23.23,23.3
NTSK,2025-10-29,23.5,23.605,22.71,23.31
NTSK,2025-10-30,23.06,23.49,22.6232,22.92
NTSK,2025-10-31,23.18,24.05,22.966,23.64
NTSK,2025-11-03,23.86,24.98,23.52,24.21
NTSK,2025-11-04,23.5,23.58,22.0,22.03
NTSK,2025-11-05,22.29,22.76,21.8,22.74
NTSK,2025-11-06,22.52,22.7,21.04,21.79
NTSK,2025-11-07,21.39,22.44,20.9183,22.32
NTSK,2025-11-10,22.6,23.19,22.435,22.505
NTSK,2025-11-11,22.5,22.81,21.33,21.91
NTSK,2025-11-12,21.97,22.2,20.665,20.85
NTSK,2025-11-13,20.79,21.0999,19.875,19.9
NTSK,2025-11-14,19.2,20.7,18.86,19.87
NTSK,2025-11-17,19.94,20.145,18.68,19.33
NTSK,2025-11-18,18.87,19.02,17.81,18.77
NTSK,2025-11-19,18.56,18.7,17.56,17.66
NTSK,2025-11-20,18.13,18.37,17.5101,17.87
NTSK,2025-11-21,17.95,18.88,17.32,18.82
NTSK,2025-11-24,19.17,19.37,18.315,18.37
NTSK,2025-11-25,18.27,18.68,17.947,18.53
NTSK,2025-11-26,18.39,18.5,17.65,17.74
NTSK,2025-11-28,17.81,18.7,17.735,18.38
NTSK,2025-12-01,18.0,18.1799,17.52,17.75
NTSK,2025-12-02,17.85,18.1,17.69,17.88
NTSK,2025-12-03,17.78,18.48,17.44,18.32
NTSK,2025-12-04,18.31,19.83,18.1001,19.68
NTSK,2025-12-05,19.945,21.48,19.5848,20.73
NTSK,2025-12-08,21.34,22.55,21.24,22.28
NTSK,2025-12-09,22.26,23.55,22.26,22.88
NTSK,2025-12-10,22.76,22.91,21.96,22.5
NTSK,2025-12-11,22.67,23.56,22.45,23.5
NTSK,2025-12-12,21.4,22.24,20.5,20.72
