ticker,date,open,high,low,close
NUAI,2025-08-25,0.4698,0.51,0.46,0.486
NUAI,2025-08-26,0.4795,0.4999,0.4795,0.489
NUAI,2025-08-27,0.4979,0.5248,0.4795,0.5
NUAI,2025-08-28,0.51,0.5102,0.48,0.5044
NUAI,2025-08-29,0.517,0.517,0.481,0.498
NUAI,2025-09-02,0.4493,0.4884,0.39,0.4259
NUAI,2025-09-03,0.43,0.43,0.38,0.38005
NUAI,2025-09-04,0.3866,0.415,0.3825,0.405
NUAI,2025-09-05,0.4029,0.4048,0.37,0.3768
NUAI,2025-09-08,0.325,0.34,0.3248,0.3291
NUAI,2025-09-09,0.325,0.3799,0.3208,0.3738
NUAI,2025-09-10,0.3626,0.4049,0.3599,0.3875
NUAI,2025-09-11,0.4339,0.6314,0.4339,0.5733
NUAI,2025-09-12,0.47,0.4734,0.38,0.3987
NUAI,2025-09-15,0.4079,0.4388,0.398,0.42
NUAI,2025-09-16,0.42,0.4799,0.4166,0.4698
NUAI,2025-09-17,0.5353,0.545,0.4103,0.45
NUAI,2025-09-18,0.446,0.5,0.44,0.4795
NUAI,2025-09-19,0.4778,0.598,0.47,0.55
NUAI,2025-09-22,0.657,0.785,0.57,0.6072
NUAI,2025-09-23,0.8284,1.15,0.8,0.8449
NUAI,2025-09-24,0.9497,0.9686,0.861,0.921
NUAI,2025-09-25,1.05,1.4398,1.03,1.38
NUAI,2025-09-26,1.72,2.55,1.63,1.84
NUAI,2025-09-29,1.945,2.655,1.92,2.5
NUAI,2025-09-30,2.13,2.35,1.73,1.84
NUAI,2025-10-01,2.065,2.15,1.85,1.88
NUAI,2025-10-02,1.9,2.1,1.81,1.9
NUAI,2025-10-03,1.825,1.83,1.47,1.59
NUAI,2025-10-06,1.74,1.9,1.61,1.79
NUAI,2025-10-07,1.7,1.765,1.56,1.67
NUAI,2025-10-08,1.65,1.73,1.51,1.54
NUAI,2025-10-09,1.56,3.18,1.55,2.83
NUAI,2025-10-10,2.805,2.925,2.33,2.6
NUAI,2025-10-13,2.56,2.61,2.17,2.35
NUAI,2025-10-14,2.35,3.48,2.35,3.035
NUAI,2025-10-15,3.69,4.3,3.23,3.33
NUAI,2025-10-16,3.74,4.1,2.9,3.26
NUAI,2025-10-17,3.4,4.71,3.2,4.541384
NUAI,2025-10-20,5.2,6.21,5.06,5.64
NUAI,2025-10-21,4.77,4.95,3.81,4.33
NUAI,2025-10-22,3.87,4.9499,3.625,3.79
NUAI,2025-10-23,4.2,4.4,3.845,3.95
NUAI,2025-10-24,4.16,6.2,4.13,5.86
NUAI,2025-10-27,5.52,6.71,5.01,6.27
NUAI,2025-10-28,6.03,6.4813,5.61,5.64
NUAI,2025-10-29,5.84,5.9347,5.2747,5.52
NUAI,2025-10-30,5.62,6.23,4.88,5.59
NUAI,2025-10-31,5.875,6.32,5.435,5.67
NUAI,2025-11-03,5.91,7.59,5.62,6.3
NUAI,2025-11-04,5.89,6.25,5.53,5.82
NUAI,2025-11-05,5.96,6.1,5.65,5.67
NUAI,2025-11-06,6.49,7.0199,5.9,6.04
NUAI,2025-11-07,5.6,5.74,4.675,5.37
NUAI,2025-11-10,5.59,5.63,4.92,5.085
NUAI,2025-11-11,4.94,4.94,4.3,4.4
NUAI,2025-11-12,4.43,5.0086,4.12,4.97
NUAI,2025-11-13,4.59,4.73,4.12,4.235
NUAI,2025-11-14,3.26,4.46,3.26,4.03
NUAI,2025-11-17,3.93,4.09,3.82,3.995
NUAI,2025-11-18,3.78,4.5,3.7,4.28
NUAI,2025-11-19,4.4,4.4,3.68,3.79
NUAI,2025-11-20,4.0,4.25,3.28,3.3253
NUAI,2025-11-21,3.36,3.84,3.23,3.8
NUAI,2025-11-24,3.79,4.55,3.76,4.4
NUAI,2025-11-25,4.23,4.775,3.95,4.68
NUAI,2025-11-26,4.78,5.35,4.76,5.065
NUAI,2025-11-28,5.07,5.16,4.91,5.09
NUAI,2025-12-01,4.86,5.0099,4.63,4.84
NUAI,2025-12-02,4.91,5.35,4.33,4.375
NUAI,2025-12-03,4.42,4.42,3.87,4.23
NUAI,2025-12-04,4.16,4.53,4.055,4.425
NUAI,2025-12-05,4.4,4.44,4.1,4.32
NUAI,2025-12-08,4.28,4.67,4.13,4.37
NUAI,2025-12-09,4.3,4.32,3.8,4.0
NUAI,2025-12-10,3.89,3.9393,3.52,3.56
NUAI,2025-12-11,3.57,3.67,3.39,3.6
NUAI,2025-12-12,3.53,3.79,3.24,3.35
