ticker,date,open,high,low,close
ORBS,2025-09-11,19.5,19.79,14.0,14.41
ORBS,2025-09-12,15.925,19.29,14.8,15.62
ORBS,2025-09-15,15.125,15.23,11.76,12.02
ORBS,2025-09-16,12.36,12.4,10.9107,11.4
ORBS,2025-09-17,11.49,11.49,10.45,10.86
ORBS,2025-09-18,11.0,15.96,11.0,12.5597
ORBS,2025-09-19,13.79,14.03,12.61,12.79
ORBS,2025-09-22,12.33,12.74,11.8,12.01
ORBS,2025-09-23,12.0,13.8599,11.21,13.05
ORBS,2025-09-24,13.29,14.61,12.512,13.19
ORBS,2025-09-25,12.47,12.84,11.9604,12.13
ORBS,2025-09-26,11.7,12.0997,11.3,11.49
ORBS,2025-09-29,11.91,12.0549,11.0,11.22
ORBS,2025-09-30,11.0,11.0,9.0,9.145
ORBS,2025-10-01,9.3,9.39,8.0,8.1
ORBS,2025-10-02,8.27,9.4999,7.8,8.45
ORBS,2025-10-03,8.5,8.73,8.15,8.24
ORBS,2025-10-06,8.72,11.27,8.49,11.07
ORBS,2025-10-07,12.18,12.95,11.15,11.31
ORBS,2025-10-08,12.0,12.62,10.21,10.27
ORBS,2025-10-09,10.78,10.83,7.99,8.44
ORBS,2025-10-10,11.005,11.01,8.96,9.84
ORBS,2025-10-13,9.95,10.2399,9.5,10.08
ORBS,2025-10-14,9.73,10.2,9.45,9.835
ORBS,2025-10-15,10.0,10.0,8.9,9.43
ORBS,2025-10-16,9.42,9.55,8.25,8.53
ORBS,2025-10-17,8.68,9.15,8.16,8.66
ORBS,2025-10-20,8.8,9.0,8.1707,8.75
ORBS,2025-10-21,8.75,8.75,7.33,7.41
ORBS,2025-10-22,7.06,7.1275,6.09,6.28
ORBS,2025-10-23,6.37,6.6999,5.79,6.58
ORBS,2025-10-24,6.53,6.8499,6.21,6.42
ORBS,2025-10-27,6.53,7.18,6.15,6.42
ORBS,2025-10-28,6.3,6.3194,5.7,5.72
ORBS,2025-10-29,5.75,5.7597,5.16,5.31
ORBS,2025-10-30,5.05,5.27,4.59,4.71
ORBS,2025-10-31,4.785,5.05,4.52,4.525
ORBS,2025-11-03,4.48,4.6,4.2255,4.2335
ORBS,2025-11-04,4.04,4.58,4.04,4.3
ORBS,2025-11-05,4.25,4.65,4.16,4.44
ORBS,2025-11-06,4.48,4.5,3.99,4.14
ORBS,2025-11-07,4.0,4.62,3.99,4.455
ORBS,2025-11-10,4.67,4.67,3.88,3.95
ORBS,2025-11-11,3.86,3.925,3.58,3.605
ORBS,2025-11-12,3.62,3.6694,3.23,3.35
ORBS,2025-11-13,3.25,3.38,2.7,2.815
ORBS,2025-11-14,2.76,2.9499,2.63,2.7
ORBS,2025-11-17,2.65,3.1698,2.65,2.93
ORBS,2025-11-18,2.79,3.52,2.66,3.39
ORBS,2025-11-19,3.3,3.5907,3.0401,3.37
ORBS,2025-11-20,3.62,3.62,3.11,3.12
ORBS,2025-11-21,2.96,3.04,2.6,2.74
ORBS,2025-11-24,2.9,2.9,2.48,2.67
ORBS,2025-11-25,2.67,2.86,2.4,2.43
ORBS,2025-11-26,2.47,2.6,2.43,2.5
ORBS,2025-11-28,2.7,2.77,2.51,2.62
ORBS,2025-12-01,2.55,2.6413,2.3,2.59
ORBS,2025-12-02,2.64,2.98,2.64,2.82
ORBS,2025-12-03,2.66,2.66,2.53,2.66
ORBS,2025-12-04,2.58,2.83,2.51,2.8
ORBS,2025-12-05,2.78,2.795,2.54,2.6
ORBS,2025-12-08,2.66,2.7,2.38,2.61
ORBS,2025-12-09,2.52,2.895,2.4391,2.86
ORBS,2025-12-10,2.78,3.23,2.56,2.89
ORBS,2025-12-11,2.77,2.91,2.6,2.87
ORBS,2025-12-12,2.87,2.93,2.735,2.74
