ticker,date,open,high,low,close
OTGA,2025-11-03,10.07,10.07,10.0,10.03
OTGA,2025-11-04,10.04,10.04,10.01,10.03
OTGA,2025-11-05,10.04,10.111,10.036,10.05
OTGA,2025-11-06,10.1,10.1,10.07,10.09
OTGA,2025-11-07,10.07,10.07,10.055,10.06
OTGA,2025-11-10,10.06,10.06,10.04,10.06
OTGA,2025-11-11,10.07,10.07,10.06,10.06
OTGA,2025-11-12,10.04,10.07,10.04,10.05
OTGA,2025-11-13,10.05,10.06,10.045,10.05
OTGA,2025-11-14,10.05,10.05,10.0353,10.04
OTGA,2025-11-17,10.04,10.07,10.0386,10.04
OTGA,2025-11-18,10.0499,10.0499,10.02,10.02
OTGA,2025-11-19,10.05,10.05,10.02,10.04
OTGA,2025-11-20,10.03,10.05,9.9723,10.02
OTGA,2025-11-21,10.08,10.08,10.02,10.03
OTGA,2025-11-24,10.05,10.05,10.025,10.045
OTGA,2025-11-25,10.05,10.05,10.05,10.05
OTGA,2025-11-26,10.05,10.05,10.03,10.04
OTGA,2025-11-28,10.05,10.05,10.05,10.05
OTGA,2025-12-01,10.06,10.06,10.03,10.035
OTGA,2025-12-02,10.05,10.05,10.005,10.02
OTGA,2025-12-03,10.0414,10.05,10.01,10.015
OTGA,2025-12-04,10.05,10.05,10.01,10.015
OTGA,2025-12-05,10.02,10.02,9.985,10.015
OTGA,2025-12-08,10.0189,10.04,9.985,10.02
OTGA,2025-12-09,10.02,10.04,10.0109,10.0201
OTGA,2025-12-10,10.0301,10.06,10.02,10.0258
OTGA,2025-12-11,10.03,10.121,9.9946,10.0
OTGA,2025-12-12,10.0101,10.1117,10.0,10.0
