ticker,date,open,high,low,close
PASW,2025-10-01,1.14,1.22,0.9501,0.9831
PASW,2025-10-02,0.998,1.1,0.9303,1.09
PASW,2025-10-03,1.05,1.05,0.9701,0.9901
PASW,2025-10-06,0.9409,0.942,0.903,0.91
PASW,2025-10-07,0.92,1.09,0.92,1.04
PASW,2025-10-08,1.0202,1.0301,0.95,0.9904
PASW,2025-10-09,0.966236,1.02,0.9598,1.0
PASW,2025-10-10,1.0,1.05,0.9301,0.9487
PASW,2025-10-13,0.9576,0.9576,0.8933,0.9213
PASW,2025-10-14,0.88,0.88,0.82,0.8504
PASW,2025-10-15,0.8091,0.8091,0.73,0.765
PASW,2025-10-16,0.7951,0.7951,0.75,0.7601
PASW,2025-10-17,0.73,0.7918,0.73,0.7624
PASW,2025-10-20,0.731,0.7939,0.7305,0.7743
PASW,2025-10-21,0.7542,0.8,0.73,0.7415
PASW,2025-10-22,0.7304,0.7414,0.7107,0.7252
PASW,2025-10-23,0.69,0.725,0.69,0.7138
PASW,2025-10-24,0.7001,0.8,0.7001,0.75
PASW,2025-10-27,0.73,0.7695,0.7136,0.7425
PASW,2025-10-28,0.73,0.77,0.71,0.7548
PASW,2025-10-29,0.7311,0.75469,0.715,0.7504
PASW,2025-10-30,0.751,0.761,0.708,0.7529
PASW,2025-10-31,0.764,0.764,0.7304,0.7499
PASW,2025-11-03,0.7265,0.7322,0.7001,0.7003
PASW,2025-11-04,0.7101,0.7119,0.67,0.6781
PASW,2025-11-05,0.63,0.674,0.6129,0.6202
PASW,2025-11-06,0.622,0.6465,0.5913,0.598
PASW,2025-11-07,0.595,0.607,0.531,0.607
PASW,2025-11-10,0.607,0.62,0.6,0.62
PASW,2025-11-11,0.58,0.655499,0.58,0.65
PASW,2025-11-12,0.6752,0.6752,0.6029,0.6513
PASW,2025-11-13,0.58,0.62,0.57,0.6167
PASW,2025-11-14,0.55,0.6583,0.55,0.5747
PASW,2025-11-17,0.5527,0.6232,0.5416,0.5647
PASW,2025-11-18,0.5521,0.5647,0.55,0.551
PASW,2025-11-19,0.56,0.5799,0.5515,0.5775
PASW,2025-11-20,0.56,0.6,0.55,0.57
PASW,2025-11-21,0.5211,0.5599,0.5175,0.5299
PASW,2025-11-24,0.514,0.5499,0.51,0.5417
PASW,2025-11-25,0.4563,0.4879,0.34465,0.4661
PASW,2025-11-26,0.4088,0.5165,0.3898,0.4738
PASW,2025-11-28,0.46,0.465,0.43275,0.4568
PASW,2025-12-01,0.4441,0.502,0.4201,0.502
PASW,2025-12-02,0.47,0.5,0.45,0.499
PASW,2025-12-03,0.4953,0.5089,0.47,0.4964
PASW,2025-12-04,0.4854,0.516,0.45005,0.4945
PASW,2025-12-05,0.4555,0.5061,0.4423,0.5061
PASW,2025-12-08,0.4805,0.565,0.4611,0.535
PASW,2025-12-09,0.5184,0.53,0.4915,0.5137
PASW,2025-12-10,0.4922,0.5677,0.45,0.5371
PASW,2025-12-11,0.5371,0.595099,0.5161,0.5785
PASW,2025-12-12,0.55,0.61505,0.5295,0.6003
