ticker,date,open,high,low,close
POM,2025-10-08,4.5,5.0399,3.47,4.03
POM,2025-10-09,3.9,4.88,3.9,4.77
POM,2025-10-10,4.89,4.8908,4.11,4.35
POM,2025-10-13,4.57,4.57,4.07,4.4
POM,2025-10-14,4.45,4.7,4.37,4.6528
POM,2025-10-15,4.7,4.7,4.2,4.64
POM,2025-10-16,4.64,4.66,4.31,4.41
POM,2025-10-17,4.4,4.4,3.8701,4.18
POM,2025-10-20,4.18,4.3,4.18,4.28
POM,2025-10-21,4.22,4.39,4.09,4.3
POM,2025-10-22,4.4,4.55,4.24,4.38
POM,2025-10-23,4.5,4.68,4.42,4.61
POM,2025-10-24,4.71,4.7394,4.35,4.64
POM,2025-10-27,4.6,4.7,4.4,4.7
POM,2025-10-28,4.7,4.8325,4.43,4.82
POM,2025-10-29,4.82,4.94,4.7,4.935
POM,2025-10-30,5.0,5.45,5.0,5.43
POM,2025-10-31,5.45,5.525,5.21,5.36
POM,2025-11-03,5.36,5.67,5.2508,5.61
POM,2025-11-04,5.63,5.88,5.51,5.79
POM,2025-11-05,5.9,6.13,5.8,6.07
POM,2025-11-06,6.19,6.43,5.7,6.09
POM,2025-11-07,6.28,6.28,5.0,5.34
POM,2025-11-10,5.5,5.75,5.03,5.36
POM,2025-11-11,5.3,5.425,5.03,5.3
POM,2025-11-12,5.3,5.4,4.11,4.4998
POM,2025-11-13,4.19,4.41,3.35,3.58
POM,2025-11-14,3.58,3.94,3.5,3.81
POM,2025-11-17,3.97,4.605,3.645,4.33
POM,2025-11-18,4.17,4.52,3.9,4.201
POM,2025-11-19,4.2,4.3,4.05,4.26
POM,2025-11-20,4.29,4.45,4.09,4.44
POM,2025-11-21,4.4,4.75,4.3001,4.55
POM,2025-11-24,4.55,5.0,4.55,4.58
POM,2025-11-25,4.6,4.71,4.2,4.27
POM,2025-11-26,4.07,4.24,3.92,3.92
POM,2025-11-28,3.97,4.55,3.91,4.32
POM,2025-12-01,4.44,4.83,4.33,4.47
POM,2025-12-02,4.58,4.85,4.43,4.66
POM,2025-12-03,4.71,5.08,4.51,4.91
POM,2025-12-04,4.94,5.54,4.68,4.74
POM,2025-12-05,4.78,5.48,4.68,5.45
POM,2025-12-08,5.4,5.6899,5.14,5.56
POM,2025-12-09,5.54,5.5436,5.08,5.42
POM,2025-12-10,1.52,1.73,0.5,0.5
POM,2025-12-11,0.371,0.48,0.2602,0.3844
POM,2025-12-12,0.3674,0.52,0.3674,0.4221
