ticker,date,open,high,low,close
PRHI,2025-10-01,1.24,1.24,1.11,1.115
PRHI,2025-10-02,1.09,1.185,1.07,1.1359
PRHI,2025-10-03,1.1401,1.185,1.08,1.12
PRHI,2025-10-06,1.12,1.32,1.07,1.289
PRHI,2025-10-07,1.51,2.83,1.46,1.84
PRHI,2025-10-08,1.74,1.94,1.32,1.7
PRHI,2025-10-09,1.66,2.0,1.6506,1.7
PRHI,2025-10-10,1.7,1.79,1.51,1.62
PRHI,2025-10-13,1.55,1.55,1.55,1.55
PRHI,2025-10-14,1.52,1.5355,1.4305,1.46
PRHI,2025-10-15,1.54,1.5406,1.1,1.41
PRHI,2025-10-16,1.39,1.54,1.39,1.41
PRHI,2025-10-17,1.42,1.51,1.4,1.41
PRHI,2025-10-20,1.392,1.55,1.392,1.48
PRHI,2025-10-21,1.5,1.57,1.445,1.45
PRHI,2025-10-22,1.4,1.51,1.38,1.41
PRHI,2025-10-23,1.43,1.52,1.4,1.46
PRHI,2025-10-24,1.5,1.62,1.49,1.51
PRHI,2025-10-27,1.54,1.57,1.48,1.48
PRHI,2025-10-28,1.41,1.52,1.4,1.45
PRHI,2025-10-29,1.49,1.54,1.4,1.42
PRHI,2025-10-30,1.39,1.44,1.37,1.43
PRHI,2025-10-31,1.42,1.47,1.4,1.45
PRHI,2025-11-03,1.42,1.54,1.41,1.46
PRHI,2025-11-04,1.48,1.48,1.34,1.34
PRHI,2025-11-05,1.41,1.41,1.3401,1.37
PRHI,2025-11-06,1.3,1.35,1.21,1.22
PRHI,2025-11-07,1.24,1.27,1.14,1.14
PRHI,2025-11-10,1.12,1.18,1.12,1.16
PRHI,2025-11-11,1.22,1.22,1.134,1.15
PRHI,2025-11-12,1.12,1.185,1.1105,1.17
PRHI,2025-11-13,1.13,1.13,1.11,1.13
PRHI,2025-11-14,1.1,1.16,1.09,1.14
PRHI,2025-11-17,1.14,1.14,1.06,1.06
PRHI,2025-11-18,1.02,1.06,1.02,1.03
PRHI,2025-11-19,1.02,1.02,0.9574,1.02
PRHI,2025-11-20,1.02,1.07,1.0126,1.04
PRHI,2025-11-21,1.002,1.002,0.8911,0.9067
PRHI,2025-11-24,0.9001,0.9249,0.85,0.9068
PRHI,2025-11-25,0.95,0.96,0.9159,0.9159
PRHI,2025-11-26,0.97,1.0099,0.9013,0.9199
PRHI,2025-11-28,0.94,1.0181,0.94,0.995
PRHI,2025-12-01,0.98,0.9808,0.9012,0.95
PRHI,2025-12-02,0.975,0.975,0.9102,0.9276
PRHI,2025-12-03,0.9012,0.9249,0.88,0.906
PRHI,2025-12-04,0.893775,0.893775,0.88,0.893775
PRHI,2025-12-05,0.8938,0.923,0.880001,0.92
PRHI,2025-12-08,0.95,0.95,0.9,0.928
PRHI,2025-12-09,0.93,0.975,0.8854,0.9186
PRHI,2025-12-10,0.99,1.28,0.94,1.072
PRHI,2025-12-11,1.02,1.02,0.9224,0.93
PRHI,2025-12-12,0.93,1.1199,0.93,1.085
