ticker,date,open,high,low,close
QUMS,2025-10-01,9.95,9.95,9.94,9.94
QUMS,2025-10-02,9.939,9.945,9.92,9.93
QUMS,2025-10-03,9.95,9.95,9.93,9.94
QUMS,2025-10-06,9.94,9.9487,9.94,9.94
QUMS,2025-10-07,9.95,9.95,9.94,9.95
QUMS,2025-10-08,9.95,9.96,9.945,9.95
QUMS,2025-10-09,10.23,10.23,9.94,9.97
QUMS,2025-10-10,9.96,9.99,9.96,9.98
QUMS,2025-10-13,9.9504,9.975,9.9504,9.975
QUMS,2025-10-14,9.98,9.98,9.96,9.975
QUMS,2025-10-15,10.0,10.0,9.965,9.97
QUMS,2025-10-16,9.97,9.98,9.97,9.98
QUMS,2025-10-17,9.98,9.99,9.98,9.98
QUMS,2025-10-20,10.0,10.0,9.96,9.97
QUMS,2025-10-21,9.99,9.99,9.97,9.97
QUMS,2025-10-22,9.98,9.98,9.975,9.975
QUMS,2025-10-23,9.98,9.98,9.97,9.98
QUMS,2025-10-24,9.975,9.975,9.97,9.97
QUMS,2025-10-27,9.98,9.98,9.97,9.97
QUMS,2025-10-28,9.97,9.97,9.97,9.97
QUMS,2025-10-29,9.97,9.98,9.97,9.98
QUMS,2025-10-30,9.98,9.98,9.97,9.97
QUMS,2025-11-03,9.97,9.97,9.97,9.97
QUMS,2025-11-06,9.98,9.98,9.97,9.975
QUMS,2025-11-17,9.98,9.99,9.98,9.99
QUMS,2025-11-24,9.99,9.99,9.99,9.99
QUMS,2025-11-25,9.99,9.99,9.99,9.99
QUMS,2025-12-02,9.99,9.99,9.99,9.99
QUMS,2025-12-04,10.0,10.0,10.0,10.0
QUMS,2025-12-08,9.98,9.98,9.98,9.98
QUMS,2025-12-11,10.0,10.0,10.0,10.0
