ticker,date,open,high,low,close
RJET,2025-11-25,21.05,23.715,18.7796,20.9489
RJET,2025-11-26,21.2,21.57,20.0244,21.003
RJET,2025-11-28,20.94,21.09,20.0,20.04
RJET,2025-12-01,19.5,19.8399,18.68,19.3
RJET,2025-12-02,19.16,19.63,17.35,17.85
RJET,2025-12-03,17.78,19.48,17.77,19.01
RJET,2025-12-04,18.9998,19.21,18.0446,19.01
RJET,2025-12-05,19.362,19.49,18.41,19.3
RJET,2025-12-08,19.54,20.4,19.0,19.22
RJET,2025-12-09,19.3,19.4471,18.5,19.25
RJET,2025-12-10,19.19,19.19,18.5,19.04
RJET,2025-12-11,19.05,20.0,18.52,19.02
RJET,2025-12-12,18.9958,19.025,18.1,18.69
