ticker,date,open,high,low,close
RPGL,2025-10-14,4.2,5.19,4.0,4.98
RPGL,2025-10-15,4.05,4.29,4.02,4.1
RPGL,2025-10-16,4.1,4.164,1.41,1.81
RPGL,2025-10-17,1.41,1.69,1.32,1.58
RPGL,2025-10-20,1.51,1.56,1.4201,1.51
RPGL,2025-10-21,1.49,1.5,1.2,1.24
RPGL,2025-10-22,1.22,1.3202,1.02,1.07
RPGL,2025-10-23,1.12,1.65,1.0903,1.3
RPGL,2025-10-24,1.24,1.29,1.0601,1.1
RPGL,2025-10-27,1.12,1.7,1.12,1.32
RPGL,2025-10-28,1.38,1.58,1.2795,1.48
RPGL,2025-10-29,1.48,1.48,1.26,1.31
RPGL,2025-10-30,1.28,1.48,1.27,1.35
RPGL,2025-10-31,1.36,1.52,1.31,1.44
RPGL,2025-11-03,1.39,1.4533,1.3,1.31
RPGL,2025-11-04,1.3613,1.54,1.34,1.4
RPGL,2025-11-05,1.38,1.7,1.3,1.56
RPGL,2025-11-06,1.6,1.98,1.5248,1.95
RPGL,2025-11-07,2.03,2.32,1.8,2.01
RPGL,2025-11-10,1.98,2.6747,1.98,2.41
RPGL,2025-11-11,2.6,2.68,2.0,2.32
RPGL,2025-11-12,2.32,2.69,1.99,2.63
RPGL,2025-11-13,2.42,2.5,1.24,1.51
RPGL,2025-11-14,1.22,1.22,0.700501,0.8653
RPGL,2025-11-17,0.82,0.85,0.453,0.53
RPGL,2025-11-18,0.48,0.5294,0.4211,0.4875
RPGL,2025-11-19,0.4871,0.61,0.455,0.46
RPGL,2025-11-20,0.44,0.499,0.43,0.45455
RPGL,2025-11-21,0.42,0.5194,0.42,0.48
RPGL,2025-11-24,0.4917,0.4937,0.441,0.451
RPGL,2025-11-25,0.4564,0.48,0.43,0.4639
RPGL,2025-11-26,0.45,0.45,0.375,0.4269
RPGL,2025-11-28,0.4245,0.426899,0.4011,0.405
RPGL,2025-12-01,0.4926,0.5071,0.402,0.4282
RPGL,2025-12-02,0.438,0.44,0.3828,0.4172
RPGL,2025-12-03,0.3987,0.5037,0.395,0.4914
RPGL,2025-12-04,0.4448,0.54,0.4419,0.54
RPGL,2025-12-05,0.4972,0.5356,0.49,0.5356
RPGL,2025-12-08,0.49,0.5798,0.49,0.5355
RPGL,2025-12-09,0.5483,0.565,0.5101,0.5101
RPGL,2025-12-10,0.52,0.535,0.5008,0.53
RPGL,2025-12-11,0.54,0.6042,0.5201,0.5564
RPGL,2025-12-12,0.5371,0.5371,0.4735,0.5163
