ticker,date,open,high,low,close
SLGB,2025-10-15,5.4,5.4594,5.1,5.2
SLGB,2025-10-16,4.74,5.5,3.05,3.52
SLGB,2025-10-17,3.45,4.0,3.31,3.45
SLGB,2025-10-20,2.88,2.89,2.42,2.63
SLGB,2025-10-21,2.85,3.13,2.7,3.13
SLGB,2025-10-22,3.5,4.57,3.5,4.09
SLGB,2025-10-23,4.0,6.08,3.952,5.26
SLGB,2025-10-24,4.95,5.55,4.78,5.1
SLGB,2025-10-27,3.03,3.18,2.8,3.0
SLGB,2025-10-28,2.95,2.9899,2.6202,2.9
SLGB,2025-10-29,2.93,3.57,2.91,3.16
SLGB,2025-10-30,2.91,3.14,2.88,3.02
SLGB,2025-10-31,2.9,2.96,2.54,2.65
SLGB,2025-11-03,2.6,2.69,2.06,2.53
SLGB,2025-11-04,2.37,2.37,2.06,2.08
SLGB,2025-11-05,2.15,2.35,2.04,2.28
SLGB,2025-11-06,2.18,2.4,2.02,2.02
SLGB,2025-11-07,2.04,2.075,1.85,1.97
SLGB,2025-11-10,2.0,2.14,2.0,2.05
SLGB,2025-11-11,2.0,2.4,2.0,2.4
SLGB,2025-11-12,2.35,2.35,2.14,2.22
SLGB,2025-11-13,2.05,2.2199,2.0,2.0
SLGB,2025-11-14,2.1753,2.2,2.01,2.02
SLGB,2025-11-17,2.0105,2.36,1.96,2.23
SLGB,2025-11-18,2.04,2.2,2.01,2.08
SLGB,2025-11-19,2.14,2.14,2.03,2.1199
SLGB,2025-11-20,2.11,2.11,2.02,2.03
SLGB,2025-11-21,2.02,2.02,1.88,1.8939
SLGB,2025-11-24,1.88,1.8984,1.7835,1.79
SLGB,2025-11-25,1.8,1.8699,1.8,1.81
SLGB,2025-11-26,1.8383,1.84,1.78,1.792
SLGB,2025-11-28,1.8,1.91,1.75,1.75
SLGB,2025-12-01,1.88,2.23,1.7412,2.2
SLGB,2025-12-02,2.12,2.16,1.9439,2.04
SLGB,2025-12-03,2.0,2.0875,1.85,1.935
SLGB,2025-12-04,1.98,2.16,1.97,2.07
SLGB,2025-12-05,1.9666,2.07,1.94,2.07
SLGB,2025-12-08,2.04,2.05,1.8501,1.93
SLGB,2025-12-09,1.93,2.0,1.86,1.91
SLGB,2025-12-10,1.85,1.925,1.77,1.77
SLGB,2025-12-11,1.86,1.86,1.58,1.62
SLGB,2025-12-12,1.62,1.66,1.5571,1.61
