ticker,date,open,high,low,close
SLMT,2025-10-03,23.79,25.8,23.5,24.88
SLMT,2025-10-06,23.56,24.2841,20.5,21.91
SLMT,2025-10-07,22.41,22.41,18.0501,18.78
SLMT,2025-10-08,19.3,19.795,18.09,19.25
SLMT,2025-10-09,18.87,19.0111,16.274,18.76
SLMT,2025-10-10,18.33,18.4,16.54,16.94
SLMT,2025-10-13,17.73,18.25,15.2175,15.52
SLMT,2025-10-14,14.88,15.3825,13.8007,14.52
SLMT,2025-10-15,15.55,15.78,13.46,14.47
SLMT,2025-10-16,14.36,14.555,11.5001,12.02
SLMT,2025-10-17,12.0,13.09,10.8801,11.62
SLMT,2025-10-20,11.39,13.33,11.03,11.81
SLMT,2025-10-21,12.18,12.18,9.605,9.61
SLMT,2025-10-22,9.23,9.237,6.56,8.35
SLMT,2025-10-23,12.3,13.0,10.42,11.41
SLMT,2025-10-24,11.2,12.57,10.88,12.01
SLMT,2025-10-27,12.46,14.58,11.9,13.39
SLMT,2025-10-28,13.3,13.65,11.8,13.13
SLMT,2025-10-29,12.87,12.9408,11.45,12.32
SLMT,2025-10-30,11.67,11.97,10.23,10.45
SLMT,2025-10-31,10.61,11.77,10.5,11.74
SLMT,2025-11-03,11.41,11.535,9.1,9.83
SLMT,2025-11-04,9.24,9.44,8.0101,8.255
SLMT,2025-11-05,8.36,8.5315,7.0,7.46
SLMT,2025-11-06,7.38,7.7768,6.805,6.81
SLMT,2025-11-07,6.73,7.8,6.66,7.64
SLMT,2025-11-10,8.09,8.4,7.41,8.12
SLMT,2025-11-11,7.87,8.0116,6.7201,7.4
SLMT,2025-11-12,7.61,7.81,6.651,7.79
SLMT,2025-11-13,7.61,7.6605,5.84,6.81
SLMT,2025-11-14,6.46,7.0,6.04,6.92
SLMT,2025-11-17,6.8,7.14,6.27,6.56
SLMT,2025-11-18,6.5,7.8,6.3,6.72
SLMT,2025-11-19,6.61,6.89,5.71,5.84
SLMT,2025-11-20,2.1,2.1,1.97,2.1
SLMT,2025-11-21,2.25,2.2999,1.97,2.135
SLMT,2025-11-24,2.075,2.19,1.8,2.12
SLMT,2025-11-25,2.02,2.19,2.01,2.15
SLMT,2025-11-26,2.16,2.49,2.0,2.27
SLMT,2025-11-28,2.41,2.4495,2.2,2.36
SLMT,2025-12-01,2.22,2.47,2.09,2.15
SLMT,2025-12-02,2.13,2.26,2.13,2.21
SLMT,2025-12-03,2.22,2.57,2.16,2.36
SLMT,2025-12-04,2.33,2.66,2.26,2.57
SLMT,2025-12-05,2.61,2.63,2.31,2.315
SLMT,2025-12-08,2.5,2.51,2.33,2.39
SLMT,2025-12-09,2.43,2.75,2.31,2.54
SLMT,2025-12-10,2.5,2.55,2.28,2.435
SLMT,2025-12-11,2.33,2.39,2.3,2.33
SLMT,2025-12-12,2.31,2.39,2.015,2.22
