ticker,date,open,high,low,close
SVRN,2025-11-17,1.46,1.46,1.32,1.39
SVRN,2025-11-18,1.31,1.61,1.31,1.5
SVRN,2025-11-19,1.5,1.51,1.39,1.39
SVRN,2025-11-20,1.4,1.44,1.3,1.33
SVRN,2025-11-21,1.29,1.39,1.27,1.36
SVRN,2025-11-24,1.36,1.4202,1.33,1.395
SVRN,2025-11-25,1.38,1.405,1.32,1.37
SVRN,2025-11-26,1.35,1.39,1.35,1.36
SVRN,2025-11-28,1.35,1.41,1.35,1.37
SVRN,2025-12-01,1.46,1.465,1.37,1.38
SVRN,2025-12-02,1.36,1.39,1.35,1.36
SVRN,2025-12-03,1.3897,1.46,1.36,1.42
SVRN,2025-12-04,1.4,1.45,1.38,1.4
SVRN,2025-12-05,1.41,1.4494,1.38,1.39
SVRN,2025-12-08,1.43,1.445,1.38,1.395
SVRN,2025-12-09,1.36,1.4,1.35,1.38
SVRN,2025-12-10,1.39,1.39,1.345,1.37
SVRN,2025-12-11,1.3642,1.38,1.32,1.35
SVRN,2025-12-12,1.33,1.3641,1.33,1.34
