ticker,date,open,high,low,close
TONX,2025-09-02,12.84,13.8961,12.3008,12.36
TONX,2025-09-03,12.6,13.44,11.62,12.0
TONX,2025-09-04,11.17,11.5,9.5818,10.85
TONX,2025-09-05,11.05,11.36,10.3921,10.71
TONX,2025-09-08,9.05,9.05,8.55,8.745
TONX,2025-09-09,8.71,8.84,8.01,8.17
TONX,2025-09-10,8.2,8.59,8.0,8.26
TONX,2025-09-11,8.42,8.42,7.85,7.98
TONX,2025-09-12,8.33,8.36,7.17,7.24
TONX,2025-09-15,7.36,7.482,6.92,7.05
TONX,2025-09-16,7.25,8.25,7.06,7.35
TONX,2025-09-17,7.28,7.65,6.96,7.06
TONX,2025-09-18,7.09,7.26,6.69,6.81
TONX,2025-09-19,6.98,6.99,6.55,6.8
TONX,2025-09-22,6.66,7.3,6.5,7.059
TONX,2025-09-23,6.9,7.69,6.9,6.97
TONX,2025-09-24,6.93,7.345,6.93,7.06
TONX,2025-09-25,6.93,7.16,6.85,6.97
TONX,2025-09-26,6.91,7.025,6.6104,6.94
TONX,2025-09-29,6.865,7.5,6.76,6.9
TONX,2025-09-30,7.3,7.51,6.92,6.99
TONX,2025-10-01,7.08,7.29,6.55,6.82
TONX,2025-10-02,6.9,7.09,6.7,7.08
TONX,2025-10-03,7.08,7.12,6.77,6.87
TONX,2025-10-06,6.96,7.14,6.74,7.01
TONX,2025-10-07,7.03,7.0478,6.295,6.375
TONX,2025-10-08,6.43,6.4682,6.12,6.33
TONX,2025-10-09,6.33,6.33,5.95,6.1
TONX,2025-10-10,6.07,6.32,5.42,5.56
TONX,2025-10-13,5.36,5.42,4.405,4.72
TONX,2025-10-14,4.52,4.64,4.255,4.275
TONX,2025-10-15,4.3,4.417,4.13,4.16
TONX,2025-10-16,4.24,4.38,3.91,4.01
TONX,2025-10-17,3.91,4.04,3.67,3.69
TONX,2025-10-20,3.86,4.225,3.8,4.15
TONX,2025-10-21,4.13,4.16,3.94,4.0
TONX,2025-10-22,3.91,4.06,3.46,3.61
TONX,2025-10-23,3.79,3.84,3.57,3.79
TONX,2025-10-24,3.82,3.98,3.56,3.95
TONX,2025-10-27,3.94,4.18,3.9,4.09
TONX,2025-10-28,4.07,4.18,3.96,4.16
TONX,2025-10-29,4.11,4.3728,3.885,4.26
TONX,2025-10-30,4.4,4.4,4.045,4.2
TONX,2025-10-31,4.24,4.33,4.2,4.27
TONX,2025-11-03,4.31,4.32,3.92,4.14
TONX,2025-11-04,4.29,4.29,3.05,3.46
TONX,2025-11-05,3.49,3.49,3.21,3.47
TONX,2025-11-06,3.45,3.45,3.15,3.16
TONX,2025-11-07,3.12,3.31,3.01,3.3
TONX,2025-11-10,3.42,3.45,3.22,3.22
TONX,2025-11-11,3.2,3.25,3.095,3.15
TONX,2025-11-12,3.24,3.79,3.205,3.61
TONX,2025-11-13,3.65,4.22,3.47,3.48
TONX,2025-11-14,3.34,3.565,3.3,3.31
TONX,2025-11-17,3.23,3.355,3.1245,3.16
TONX,2025-11-18,3.01,3.18,2.91,3.08
TONX,2025-11-19,3.09,3.25,2.8,2.855
TONX,2025-11-20,2.89,3.12,2.88,2.94
TONX,2025-11-21,2.74,3.03,2.74,2.88
TONX,2025-11-24,2.81,3.12,2.81,3.06
TONX,2025-11-25,3.05,3.16,2.73,2.865
TONX,2025-11-26,2.91,3.1899,2.9,3.15
TONX,2025-11-28,3.17,3.525,3.11,3.41
TONX,2025-12-01,3.21,3.25,3.04,3.045
TONX,2025-12-02,3.07,3.1055,2.97,3.015
TONX,2025-12-03,2.92,3.505,2.92,3.48
TONX,2025-12-04,3.47,3.6774,3.42,3.58
TONX,2025-12-05,3.56,3.56,3.01,3.06
TONX,2025-12-08,3.1,3.18,2.85,2.96
TONX,2025-12-09,2.94,3.21,2.87,3.18
TONX,2025-12-10,3.18,3.245,3.06,3.14
TONX,2025-12-11,3.13,3.13,2.76,2.91
TONX,2025-12-12,2.97,2.97,2.48,2.675
