ticker,date,open,high,low,close
VELO,2025-08-19,2.81,4.05,2.81,3.36
VELO,2025-08-20,3.38,3.59,3.05,3.16
VELO,2025-08-21,3.81,4.25,3.25,3.34
VELO,2025-08-22,3.25,4.419,3.25,3.89
VELO,2025-08-25,5.0,5.0899,3.58,3.68
VELO,2025-08-26,3.67,4.1298,3.625,3.98
VELO,2025-08-27,4.0,4.74,3.98,4.594
VELO,2025-08-28,5.14,5.2299,4.36,4.57
VELO,2025-08-29,4.5,4.54,3.97,4.31
VELO,2025-09-02,4.21,4.4454,4.02,4.16
VELO,2025-09-03,4.21,4.42,3.8,3.84
VELO,2025-09-04,3.99,4.0,3.53,3.65
VELO,2025-09-05,3.74,3.92,3.472,3.6
VELO,2025-09-08,3.65,3.96,3.3401,3.5118
VELO,2025-09-09,3.49,3.5834,3.1507,3.38
VELO,2025-09-10,3.39,3.56,3.0,3.05
VELO,2025-09-11,3.2017,3.25,3.2,3.2
VELO,2025-09-12,3.14,3.3,3.07,3.14
VELO,2025-09-15,3.11,3.39,3.11,3.2
VELO,2025-09-16,3.18,3.35,3.07,3.15
VELO,2025-09-17,3.14,3.29,3.05,3.19
VELO,2025-09-18,3.36,3.36,3.14,3.2
VELO,2025-09-19,3.32,3.38,3.12,3.16
VELO,2025-09-22,3.46,3.5376,3.1,3.115
VELO,2025-09-23,3.11,3.33,3.11,3.14
VELO,2025-09-24,3.14,3.24,3.11,3.17
VELO,2025-09-25,3.15,3.16,2.96,2.97
VELO,2025-09-26,3.03,3.09,2.96,3.01
VELO,2025-09-29,2.96,3.0314,2.87,3.0
VELO,2025-09-30,2.98,3.16,2.95,3.08
VELO,2025-10-01,3.2,3.54,3.13,3.36
VELO,2025-10-02,3.31,4.1,3.27,3.89
VELO,2025-10-03,4.0,4.03,3.53,3.57
VELO,2025-10-06,3.72,4.25,3.51,3.94
VELO,2025-10-07,4.05,5.32,4.05,5.09
VELO,2025-10-08,5.25,5.48,4.81,5.12
VELO,2025-10-09,5.0,5.45,4.65,4.67
VELO,2025-10-10,5.05,5.15,4.1927,4.45
VELO,2025-10-13,4.54,5.96,4.5,5.41
VELO,2025-10-14,5.12,7.36,5.12,6.93
VELO,2025-10-15,7.35,8.29,6.06,6.56
VELO,2025-10-16,6.995,7.0316,5.76,5.79
VELO,2025-10-17,5.9,6.19,4.9105,5.1
VELO,2025-10-20,5.37,6.3594,5.36,5.93
VELO,2025-10-21,6.785,7.65,6.21,7.0
VELO,2025-10-22,5.535,5.535,5.04,5.535
VELO,2025-10-23,5.61,6.26,5.26,5.55
VELO,2025-10-24,5.65,5.74,5.27,5.27
VELO,2025-10-27,5.545,6.65,5.4501,6.54
VELO,2025-10-28,6.3,6.5674,5.6685,5.81
VELO,2025-10-29,6.01,6.4624,5.4248,5.45
VELO,2025-10-30,5.3,5.63,4.9,4.964
VELO,2025-10-31,5.05,5.585,4.925,5.55
VELO,2025-11-03,5.43,5.6355,4.68,4.83
VELO,2025-11-04,4.46,4.85,4.255,4.28
VELO,2025-11-05,4.53,5.19,4.37,4.99
VELO,2025-11-06,4.95,4.95,4.355,4.53
VELO,2025-11-07,4.4,4.86,3.75,4.71
VELO,2025-11-10,4.91,5.2,4.7,4.895
VELO,2025-11-11,4.87,5.98,4.705,5.93
VELO,2025-11-12,5.89,5.89,5.23,5.845
VELO,2025-11-13,5.75,5.75,4.79,4.965
VELO,2025-11-14,4.7,5.1898,4.54,4.62
VELO,2025-11-17,4.61,4.805,4.02,4.35
VELO,2025-11-18,4.2,4.43,4.06,4.33
VELO,2025-11-19,4.37,4.55,4.1,4.195
VELO,2025-11-20,4.26,5.34,4.26,4.4552
VELO,2025-11-21,4.5,5.01,4.21,4.91
VELO,2025-11-24,4.93,4.99,4.65,4.82
VELO,2025-11-25,4.78,5.29,4.57,5.06
VELO,2025-11-26,5.09,5.65,4.96,5.39
VELO,2025-11-28,5.38,5.65,5.275,5.35
VELO,2025-12-01,5.19,5.43,4.89,4.935
VELO,2025-12-02,5.02,5.465,4.984,5.37
VELO,2025-12-03,5.42,5.82,5.29,5.76
VELO,2025-12-04,5.76,6.56,5.32,6.34
VELO,2025-12-05,6.38,6.38,5.5,5.57
VELO,2025-12-08,5.7,6.1,5.2601,5.97
VELO,2025-12-09,5.89,6.7,5.8802,6.59
VELO,2025-12-10,8.01,9.25,6.8,8.54
VELO,2025-12-11,8.48,13.52,8.48,13.38
VELO,2025-12-12,14.31,15.0,10.52,11.92
