ticker,date,open,high,low,close
VSTD,2025-09-04,1.49,1.5014,1.3687,1.43
VSTD,2025-09-05,1.4,1.4092,1.28,1.32
VSTD,2025-09-08,1.32,1.32,1.13,1.15
VSTD,2025-09-09,1.25,1.31,1.17,1.25
VSTD,2025-09-10,1.23,1.255,1.19,1.2
VSTD,2025-09-11,1.19,1.3,1.19,1.29
VSTD,2025-09-12,1.92,2.35,1.8,2.13
VSTD,2025-09-15,1.98,2.2,1.8191,1.87
VSTD,2025-09-16,1.74,1.775,1.47,1.54
VSTD,2025-09-17,1.57,1.9298,1.51,1.77
VSTD,2025-09-18,1.85,1.9581,1.74,1.77
VSTD,2025-09-19,1.88,1.96,1.8,1.85
VSTD,2025-09-22,1.81,1.995,1.8,1.89
VSTD,2025-09-23,1.89,2.05,1.89,1.94
VSTD,2025-09-24,1.94,2.0,1.77,1.89
VSTD,2025-09-25,1.92,1.92,1.835,1.85
VSTD,2025-09-26,1.94,2.04,1.75,1.78
VSTD,2025-09-29,1.75,1.81,1.6453,1.66
VSTD,2025-09-30,1.64,1.6983,1.57,1.58
VSTD,2025-10-01,1.53,1.6,1.47,1.48
VSTD,2025-10-02,1.47,1.53,1.46,1.51
VSTD,2025-10-03,1.53,1.57,1.5,1.55
VSTD,2025-10-06,1.52,1.55,1.39,1.44
VSTD,2025-10-07,1.43,1.4575,1.34,1.35
VSTD,2025-10-08,1.34,1.4896,1.34,1.45
VSTD,2025-10-09,1.39,1.45,1.36,1.39
VSTD,2025-10-10,1.39,1.4,1.27,1.28
VSTD,2025-10-13,1.28,1.36,1.255,1.27
VSTD,2025-10-14,1.23,1.3,1.23,1.26
VSTD,2025-10-15,1.3,1.3501,1.2,1.27
VSTD,2025-10-16,1.382,1.382,1.29,1.29
VSTD,2025-10-17,1.22,1.2699,1.2001,1.23
VSTD,2025-10-20,1.21,1.33,1.21,1.31
VSTD,2025-10-21,1.3,1.31,1.22,1.22
VSTD,2025-10-22,1.2,1.2699,1.18,1.19
VSTD,2025-10-23,1.18,1.27,1.17,1.19
VSTD,2025-10-24,1.19,1.21,1.17,1.17
VSTD,2025-10-27,1.16,1.18,1.05,1.09
VSTD,2025-10-28,1.07,1.09,1.01,1.06
VSTD,2025-10-29,1.02,1.0236,0.91,0.9267
VSTD,2025-10-30,0.9267,0.949,0.85,0.85
VSTD,2025-10-31,0.8906,0.9,0.7599,0.7799
VSTD,2025-11-03,0.7565,0.8001,0.61,0.6529
VSTD,2025-11-04,0.6301,0.6301,0.4512,0.5126
VSTD,2025-11-05,0.4972,0.6042,0.4972,0.535
VSTD,2025-11-06,0.53,0.5939,0.52,0.549
VSTD,2025-11-07,0.548,0.5499,0.51,0.5105
VSTD,2025-11-10,0.4488,0.5708,0.4016,0.544
VSTD,2025-11-11,0.5083,0.55,0.4723,0.5
VSTD,2025-11-12,0.5389,0.549,0.495301,0.536
VSTD,2025-11-13,0.52,0.56,0.52,0.5381
VSTD,2025-11-14,0.5347,0.573,0.5344,0.5401
VSTD,2025-11-17,0.567699,0.5801,0.563,0.5801
VSTD,2025-11-18,0.5486,0.5533,0.5202,0.5533
VSTD,2025-11-19,0.531,0.57615,0.531,0.5654
VSTD,2025-11-20,0.57,0.5837,0.471,0.4955
VSTD,2025-11-21,0.474,0.5299,0.474,0.508
VSTD,2025-11-24,0.558,0.569551,0.52,0.565
VSTD,2025-11-25,0.561,0.568,0.5326,0.55
VSTD,2025-11-26,0.57,0.587,0.5322,0.565
VSTD,2025-11-28,0.59,0.59,0.543,0.5525
VSTD,2025-12-01,0.55,0.555,0.5161,0.543
VSTD,2025-12-02,0.5189,0.545,0.4728,0.545
VSTD,2025-12-03,0.519501,0.53,0.5,0.53
VSTD,2025-12-04,0.5198,0.5294,0.492,0.492
VSTD,2025-12-05,0.4921,0.50797,0.4406,0.47
VSTD,2025-12-08,0.4201,0.43095,0.4014,0.4166
VSTD,2025-12-09,0.4021,0.42,0.3758,0.4186
VSTD,2025-12-10,0.4152,0.456,0.4053,0.4351
VSTD,2025-12-11,0.4281,0.45555,0.426,0.426
VSTD,2025-12-12,0.449,0.45,0.4,0.4
