ticker,date,open,high,low,close
WDAF,2025-09-12,30.93,30.94,30.82,30.93
WDAF,2025-09-15,30.89,31.04,30.86,31.03
WDAF,2025-09-16,31.54,31.56,31.46,31.56
WDAF,2025-09-17,31.861,32.07,31.82,31.91
WDAF,2025-09-18,31.3,31.36,31.2247,31.3599
WDAF,2025-09-19,31.5,31.56,31.49,31.51
WDAF,2025-09-22,31.24,31.25,31.2256,31.235
WDAF,2025-09-23,31.24,31.26,31.2399,31.25
WDAF,2025-09-24,31.309,31.309,31.2599,31.26
WDAF,2025-09-25,31.24,31.24,30.92,30.99
WDAF,2025-09-26,30.6797,30.72,30.6797,30.7141
WDAF,2025-09-29,30.89,31.0,30.89,30.98
WDAF,2025-09-30,31.16,31.2213,31.1499,31.2213
WDAF,2025-10-01,31.77,31.81,31.7627,31.8099
WDAF,2025-10-02,31.55,31.55,31.29,31.42
WDAF,2025-10-03,31.88,31.88,31.77,31.87
WDAF,2025-10-06,32.29,32.7,32.06,32.2352
WDAF,2025-10-07,32.17,32.17,31.83,31.906
WDAF,2025-10-08,31.95,32.015,31.95,32.015
WDAF,2025-10-09,32.01,32.01,31.8921,31.8921
WDAF,2025-10-10,31.27,31.27,30.4075,30.4555
WDAF,2025-10-13,30.49,30.5844,30.48,30.53
WDAF,2025-10-14,29.59,29.8485,29.59,29.8485
WDAF,2025-10-15,30.3784,30.479,30.24,30.33
WDAF,2025-10-17,30.03,30.0801,30.0,30.0801
WDAF,2025-10-20,30.63,30.65,30.63,30.65
WDAF,2025-10-22,31.32,31.465,31.16,31.16
WDAF,2025-10-23,31.28,31.65,31.28,31.65
WDAF,2025-10-24,31.54,31.54,31.4,31.42
WDAF,2025-10-27,31.95,31.95,31.8554,31.94
WDAF,2025-10-28,31.47,31.6,31.47,31.6
WDAF,2025-10-29,31.289,31.39,31.26,31.2705
WDAF,2025-10-31,31.35,31.36,31.22,31.36
WDAF,2025-11-04,30.92,31.1215,30.9,30.9733
WDAF,2025-11-05,30.16,30.4025,30.16,30.4025
WDAF,2025-11-06,29.56,29.585,29.43,29.4959
WDAF,2025-11-07,28.845,29.0422,28.7143,29.0422
WDAF,2025-11-10,29.78,29.89,29.61,29.89
WDAF,2025-11-11,29.75,29.76,29.59,29.68
WDAF,2025-11-12,29.49,29.5844,29.49,29.5844
WDAF,2025-11-13,29.5,29.5,29.03,29.04
WDAF,2025-11-14,29.6,30.08,29.6,29.95
WDAF,2025-11-19,29.0,29.027,29.0,29.027
WDAF,2025-11-20,29.38,29.39,28.76,28.8045
WDAF,2025-11-21,28.25,28.25,28.01,28.24
WDAF,2025-11-24,27.78,28.02,27.78,28.02
WDAF,2025-11-25,27.89,27.94,27.89,27.94
WDAF,2025-11-26,28.3099,28.46,28.3099,28.46
WDAF,2025-11-28,28.0,28.01,27.9501,27.9501
WDAF,2025-12-01,27.685,27.685,27.62,27.6347
WDAF,2025-12-02,27.5,27.5,27.49,27.49
WDAF,2025-12-03,27.465,27.49,27.41,27.41
WDAF,2025-12-04,27.59,27.59,27.59,27.59
WDAF,2025-12-05,27.83,27.83,27.67,27.67
WDAF,2025-12-08,27.6,27.6,27.5005,27.5005
WDAF,2025-12-10,27.615,27.87,27.61,27.83
WDAF,2025-12-11,27.63,27.64,27.512,27.57
WDAF,2025-12-12,27.93,27.93,27.6201,27.6201
