ticker,date,open,high,low,close
WSHP,2025-11-14,20.02,39.22,20.02,34.02
WSHP,2025-11-17,51.0,59.999,33.61,39.51
WSHP,2025-11-18,39.5,40.0,29.0,33.0
WSHP,2025-11-19,38.0,250.0,38.0,237.41
WSHP,2025-11-20,132.99,200.0,122.39,153.46
WSHP,2025-11-21,152.49,152.49,90.0,113.4
WSHP,2025-11-24,109.975,130.0,98.98,130.0
WSHP,2025-11-25,163.0,225.0,150.06,150.06
WSHP,2025-11-26,173.0,179.9999,133.6,155.15
WSHP,2025-11-28,130.0001,154.61,130.0001,140.7
WSHP,2025-12-01,140.0,140.0,125.1,125.1
WSHP,2025-12-02,128.23,155.0,121.05,146.0
WSHP,2025-12-03,174.52,174.52,131.2444,145.0
WSHP,2025-12-04,136.7,136.7,134.0,134.6
WSHP,2025-12-05,119.55,133.15,119.55,126.61
WSHP,2025-12-08,115.0001,120.06,115.0,120.0
WSHP,2025-12-09,99.0,99.0,95.21,95.21
WSHP,2025-12-10,93.92,93.92,93.92,93.92
WSHP,2025-12-11,93.62,94.02,93.62,94.02
WSHP,2025-12-12,112.1,142.04,112.1,116.0
