ticker,date,open,high,low,close
YDES,2025-09-02,12.69,14.75,12.5101,13.65
YDES,2025-09-03,14.0,23.9426,14.0,18.28
YDES,2025-09-04,15.86,17.89,14.364,14.73
YDES,2025-09-05,14.8,16.409,14.795,15.575
YDES,2025-09-08,15.5,17.0,15.5,15.75
YDES,2025-09-09,15.79,16.6,15.301,15.55
YDES,2025-09-10,16.53,17.0,15.8,16.39
YDES,2025-09-11,16.5,20.5,16.5,20.5
YDES,2025-09-12,19.0,25.0,19.0,23.11
YDES,2025-09-15,21.0,23.0,16.31,17.1
YDES,2025-09-16,17.44,19.74,16.557,17.05
YDES,2025-09-17,17.43,18.5,17.0,18.42
YDES,2025-09-18,18.5,19.49,18.5,19.31
YDES,2025-09-19,19.0,20.15,17.055,19.78
YDES,2025-09-22,18.25,19.45,18.1736,18.75
YDES,2025-09-23,19.0,21.5,18.6364,21.06
YDES,2025-09-24,19.04,20.0,17.11,17.11
YDES,2025-09-25,17.0,17.11,14.12,14.245
YDES,2025-09-26,13.5,20.8,12.9,16.0
YDES,2025-09-29,14.9,18.4,14.5485,18.065
YDES,2025-09-30,18.0,19.8,17.23,19.47
YDES,2025-10-01,19.46,19.94,17.0,17.92
YDES,2025-10-02,18.37,19.6,17.0,19.275
YDES,2025-10-03,19.5,19.5,17.55,18.6
YDES,2025-10-06,18.34,18.52,18.05,18.2
YDES,2025-10-07,18.0,18.1,17.31,18.0
YDES,2025-10-08,17.6,17.6,17.03,17.06
YDES,2025-10-09,17.0,19.49,17.0,18.71
YDES,2025-10-10,18.7,18.7,17.41,17.41
YDES,2025-10-13,17.61,18.484223,17.61,18.46
YDES,2025-10-14,18.4,18.62,17.65,18.505
YDES,2025-10-15,18.5,18.98,18.25,18.9274
YDES,2025-10-16,18.99,19.94,18.4,18.865
YDES,2025-10-17,18.7,20.09,18.7,20.09
YDES,2025-10-20,20.39,22.0,19.613,19.9
YDES,2025-10-21,20.07,20.07,18.04,18.53
YDES,2025-10-22,18.4019,18.66,17.51,17.51
YDES,2025-10-23,17.66,17.965,17.25,17.61
YDES,2025-10-24,18.16,18.57,17.154,17.19
YDES,2025-10-27,17.51,17.99,17.0,17.11
YDES,2025-10-28,17.0,17.21,15.7,15.8
YDES,2025-10-29,16.0,16.0,13.01,13.14
YDES,2025-10-30,13.18,13.18,10.5,11.0
YDES,2025-10-31,11.2,13.988,11.18,11.43
YDES,2025-11-03,11.6,11.98,10.7,10.97
YDES,2025-11-04,11.57,11.79,10.35,10.88
YDES,2025-11-05,10.7,10.88,10.33,10.54
YDES,2025-11-06,10.48,10.48,9.21,9.41
YDES,2025-11-07,9.27,9.27,8.47,8.99
YDES,2025-11-10,8.95,9.4486,8.6,8.67
YDES,2025-11-11,8.8,9.03,8.63,8.84
YDES,2025-11-12,8.98,9.49,8.7,8.84
YDES,2025-11-13,9.0918,10.3218,9.03,10.15
YDES,2025-11-14,10.35,13.45,10.3,12.25
YDES,2025-11-17,12.19,12.7,10.6,10.66
YDES,2025-11-18,10.7,10.8,9.71,9.7204
YDES,2025-11-19,9.84,9.995,8.8,9.37
YDES,2025-11-20,9.5,9.78,8.31,8.47
YDES,2025-11-21,8.36,8.6,7.98,8.5
YDES,2025-11-24,8.996,9.84,8.83,8.83
YDES,2025-11-25,9.05,9.29,7.9,9.29
YDES,2025-11-26,10.0,11.28,9.31,10.725
YDES,2025-11-28,10.87,11.97,10.73,11.53
YDES,2025-12-01,11.5,12.5,10.9,12.5
YDES,2025-12-02,12.1,13.23,11.51,12.96
YDES,2025-12-03,12.81,13.275,12.1149,12.96
YDES,2025-12-04,13.18,13.92,12.625,12.77
YDES,2025-12-05,13.5,14.88,12.77,13.905
YDES,2025-12-08,13.91,15.7,13.71,15.55
YDES,2025-12-09,15.42,15.42,12.31,12.58
YDES,2025-12-10,12.58,13.3332,12.34,12.64
YDES,2025-12-11,12.87,13.3,11.68,12.57
YDES,2025-12-12,12.57,13.21,11.99,12.4
