ticker,Date,Stock Splits,Split Ratio
SNFCA,2000-01-03 05:00:00+00:00,1.05,1.05:1
ONB,2000-01-05 05:00:00+00:00,1.05,1.05:1
DAKT,2000-01-10 05:00:00+00:00,2.0,2:1
SIFY,2000-01-10 05:00:00+00:00,4.0,4:1
COST,2000-01-14 05:00:00+00:00,2.0,2:1
KLAC,2000-01-19 05:00:00+00:00,2.0,2:1
PRGS,2000-01-24 05:00:00+00:00,2.0,2:1
CPRT,2000-01-25 05:00:00+00:00,2.0,2:1
MSTR,2000-01-27 05:00:00+00:00,2.0,2:1
CHKP,2000-01-31 05:00:00+00:00,2.0,2:1
FWRD,2000-01-31 05:00:00+00:00,1.5,1.5:1
UEIC,2000-02-01 05:00:00+00:00,2.0,2:1
CVBF,2000-02-01 05:00:00+00:00,1.25,1.25:1
HTBK,2000-02-03 05:00:00+00:00,1.1,1.1:1
FORR,2000-02-08 05:00:00+00:00,2.0,2:1
MGIC,2000-02-14 05:00:00+00:00,3.0,3:1
PEBO,2000-02-17 05:00:00+00:00,1.1,1.1:1
SWKH,2000-02-23 05:00:00+00:00,2.0,2:1
MTCH,2000-02-25 05:00:00+00:00,2.0,2:1
RYAAY,2000-02-28 05:00:00+00:00,2.0,2:1
HAFC,2000-02-28 05:00:00+00:00,1.1,1.1:1
JKHY,2000-03-03 05:00:00+00:00,2.0,2:1
SNEX,2000-03-08 05:00:00+00:00,1.1,1.1:1
VIAV,2000-03-13 05:00:00+00:00,2.0,2:1
OTTR,2000-03-16 05:00:00+00:00,2.0,2:1
CTBI,2000-03-16 05:00:00+00:00,1.1,1.1:1
ADI,2000-03-16 05:00:00+00:00,2.0,2:1
LRCX,2000-03-17 05:00:00+00:00,3.0,3:1
NTAP,2000-03-23 05:00:00+00:00,2.0,2:1
SANM,2000-03-23 05:00:00+00:00,2.0,2:1
CSCO,2000-03-23 05:00:00+00:00,2.0,2:1
PEBK,2000-04-06 04:00:00+00:00,1.1,1.1:1
HOPE,2000-04-12 04:00:00+00:00,1.08,1.08:1
UVSP,2000-04-12 04:00:00+00:00,1.05,1.05:1
ASML,2000-04-17 04:00:00+00:00,3.0,3:1
